geneSymbol	Input.Type	MGI.Gene.Marker.ID	Symbol	Name	Feature.Type	Chr	Strand	Start	End	Ensembl.ID	Entrez.Gene.ID	OMIM_ID	Human_Disease
4930546K05Rik	current symbol	MGI:1925444	4930546K05Rik	RIKEN cDNA 4930546K05 gene	lncRNA gene	9	antisense	42182238	42209231		78194	NA	NA
4930547E08Rik	current symbol	MGI:1925281	4930547E08Rik	RIKEN cDNA 4930547E08 gene	unclassified non-coding RNA gene	2	antisense	103804452	103810622	ENSMUSG00000086687	78031	NA	NA
4930547E14Rik	current symbol	MGI:1922395	4930547E14Rik	RIKEN cDNA 4930547E14 gene	lncRNA gene	16	sense	59636945	59672993		75145	NA	NA
4930548G14Rik	current symbol	MGI:1922531	4930548G14Rik	RIKEN cDNA 4930548G14 gene	lincRNA gene	15	sense	46623305	46639858	ENSMUSG00000051198	75281	NA	NA
4930548H24Rik	current symbol	MGI:1914906	4930548H24Rik	RIKEN cDNA 4930548H24 gene	protein coding gene	5	sense	31485740	31488476	ENSMUSG00000029138	67656	NA	NA
4930548J01Rik	current symbol	MGI:1925293	4930548J01Rik	RIKEN cDNA 4930548J01 gene	lncRNA gene	17	antisense	4119446	4122102		78043	NA	NA
4930548K13Rik	current symbol	MGI:1922610	4930548K13Rik	RIKEN cDNA 4930548K13 gene	lincRNA gene	4	antisense	26635820	26705449	ENSMUSG00000086257	75360	NA	NA
4930549C01Rik	current symbol	MGI:1914913	4930549C01Rik	RIKEN cDNA 4930549C01 gene	protein coding gene	4	sense	136610437	136613226	ENSMUSG00000036921	67663	NA	NA
4930549G23Rik	current symbol	MGI:1922536	4930549G23Rik	RIKEN cDNA 4930549G23 gene	lncRNA gene	18	antisense	67776033	67799943		75286	NA	NA
4930549O18Rik	current symbol	MGI:1922585	4930549O18Rik	RIKEN cDNA 4930549O18 gene	unclassified gene	6		68799076	68802460		75335	NA	NA
4930550C14Rik	current symbol	MGI:1922561	4930550C14Rik	RIKEN cDNA 4930550C14 gene	protein coding gene	9	sense	53405286	53432803	ENSMUSG00000005131	75311	NA	NA
4930550L24Rik	current symbol	MGI:1922602	4930550L24Rik	RIKEN cDNA 4930550L24 gene	protein coding gene	X	sense	58909360	58920304	ENSMUSG00000046180	75352	NA	NA
4930552N02Rik	current symbol	MGI:1922617	4930552N02Rik	RIKEN cDNA 4930552N02 gene	unclassified non-coding RNA gene	4	sense	52814604	52828269	ENSMUSG00000070984	75367	NA	NA
4930552P12Rik	current symbol	MGI:1924844	4930552P12Rik	RIKEN cDNA 4930552P12 gene	lincRNA gene	19	antisense	55640589	55702204	ENSMUSG00000097632	77594	NA	NA
4930553C11Rik	current symbol	MGI:1922565	4930553C11Rik	RIKEN cDNA 4930553C11 gene	lncRNA gene	11		39307702	39390224		75315	NA	NA
4930554C24Rik	current symbol	MGI:1922503	4930554C24Rik	RIKEN cDNA 4930554C24 gene	lincRNA gene	9	sense	84774398	84784351	ENSMUSG00000099724	75253	NA	NA
4930555B11Rik	current symbol	MGI:1922529	4930555B11Rik	RIKEN cDNA 4930555B11 gene	unclassified non-coding RNA gene	2	sense	57181831	57188257	ENSMUSG00000086396	75279	NA	NA
4930555K05Rik	current symbol	MGI:1922611	4930555K05Rik	RIKEN cDNA 4930555K05 gene	lncRNA gene	13		73206092	73229099		75361	NA	NA
4930556C24Rik	current symbol	MGI:1922560	4930556C24Rik	RIKEN cDNA 4930556C24 gene	lncRNA gene	16	sense	85819211	85826772		75310	NA	NA
4930556G01Rik	current symbol	MGI:1922582	4930556G01Rik	RIKEN cDNA 4930556G01 gene	lincRNA gene	4	sense	30664596	30796663	ENSMUSG00000085522	75332	NA	NA
4930556H04Rik	current symbol	MGI:1923092	4930556H04Rik	RIKEN cDNA 4930556H04 gene	unclassified gene	12		99569739	99571413		75842	NA	NA
4930556J02Rik	current symbol	MGI:1922599	4930556J02Rik	RIKEN cDNA 4930556J02 gene	lncRNA gene	14	sense	61492688	61500382		75349	NA	NA
4930556M19Rik	current symbol	MGI:1922509	4930556M19Rik	RIKEN cDNA 4930556M19 gene	lincRNA gene	15	sense	10714836	10790123	ENSMUSG00000097058	75259	NA	NA
4930556N09Rik	current symbol	MGI:1922551	4930556N09Rik	RIKEN cDNA 4930556N09 gene	lncRNA gene	10	sense	97035768	97061059		75301	NA	NA
4930556N13Rik	current symbol	MGI:1922535	4930556N13Rik	RIKEN cDNA 4930556N13 gene	antisense lncRNA gene	11	sense	88851604	88881395	ENSMUSG00000092399	75285	NA	NA
4930557A04Rik	current symbol	MGI:1922521	4930557A04Rik	RIKEN cDNA 4930557A04 gene	protein coding gene	X	sense	9849703	9850255	ENSMUSG00000048994	385317	NA	NA
4930557B21Rik	current symbol	MGI:1922558	4930557B21Rik	RIKEN cDNA 4930557B21 gene	unclassified gene	19		45080007	45080582		75308	NA	NA
4930557F10Rik	current symbol	MGI:1922572	4930557F10Rik	RIKEN cDNA 4930557F10 gene	lincRNA gene	13	antisense	23276204	23313400	ENSMUSG00000085488	75322	NA	NA
4930557J02Rik	current symbol	MGI:1922607	4930557J02Rik	RIKEN cDNA 4930557J02 gene	antisense lncRNA gene	5	sense	34118740	34135339	ENSMUSG00000106902	75357	NA	NA
4930558C23Rik	current symbol	MGI:1914904	4930558C23Rik	RIKEN cDNA 4930558C23 gene	lincRNA gene	3	antisense	95386461	95402841	ENSMUSG00000105734	67654	NA	NA
4930558G05Rik	current symbol	MGI:1922524	4930558G05Rik	RIKEN cDNA 4930558G05 gene	lincRNA gene	X	sense	129064297	129067146	ENSMUSG00000086244	75274	NA	NA
4930558J18Rik	current symbol	MGI:1922573	4930558J18Rik	RIKEN cDNA 4930558J18 gene	lincRNA gene	1	antisense	57359222	57377544	ENSMUSG00000097519	75323	NA	NA
4930558K02Rik	current symbol	MGI:1922618	4930558K02Rik	RIKEN cDNA 4930558K02 gene	protein coding gene	1	antisense	161942086	161979636	ENSMUSG00000086277	75368	NA	NA
4930559C10Rik	current symbol	MGI:1922545	4930559C10Rik	RIKEN cDNA 4930559C10 gene	lncRNA gene	12		93416461	93444822		75295	NA	NA
4930562C15Rik	current symbol	MGI:1926059	4930562C15Rik	RIKEN cDNA 4930562C15 gene	protein coding gene	16	sense	4835416	4867621	ENSMUSG00000022518	78809	NA	NA
4930562F07Rik	current symbol	MGI:1922505	4930562F07Rik	RIKEN cDNA 4930562F07 gene	lincRNA gene	1	antisense	160074735	160077985	ENSMUSG00000026729	75255	NA	NA
4930563D23Rik	current symbol	MGI:1922578	4930563D23Rik	RIKEN cDNA 4930563D23 gene	protein coding gene	16	antisense	92318763	92321441	ENSMUSG00000051728	75328	NA	NA
4930563E18Rik	current symbol	MGI:1922620	4930563E18Rik	RIKEN cDNA 4930563E18 gene	lincRNA gene	18	sense	10706860	10711832	ENSMUSG00000097387	75370	NA	NA
4930563E22Rik	current symbol	MGI:1922554	4930563E22Rik	RIKEN cDNA 4930563E22 gene	unclassified non-coding RNA gene	11	sense	72215172	72218444	ENSMUSG00000053574	75304	NA	NA
4930563F08Rik	current symbol	MGI:1922619	4930563F08Rik	RIKEN cDNA 4930563F08 gene	antisense lncRNA gene	5	sense	131880269	131883768	ENSMUSG00000105773	75369	NA	NA
4930563H07Rik	current symbol	MGI:1922597	4930563H07Rik	RIKEN cDNA 4930563H07 gene	antisense lncRNA gene	6		48986615	48999615	ENSMUSG00000107656	75347	NA	NA
4930563J15Rik	current symbol	MGI:1922576	4930563J15Rik	RIKEN cDNA 4930563J15 gene	lncRNA gene	10		67568521	67571988		105245193	NA	NA
4930563M20Rik	current symbol	MGI:1925463	4930563M20Rik	RIKEN cDNA 4930563M20 gene	lncRNA gene	8	antisense	116781712	116801412		78213	NA	NA
4930564B18Rik	old symbol	MGI:1922522	Erich6b	glutamate rich 6B	protein coding gene	14	sense	75642259	75667137	ENSMUSG00000022002	75272	NA	NA
4930564C03Rik	current symbol	MGI:1922591	4930564C03Rik	RIKEN cDNA 4930564C03 gene	protein coding gene	17	antisense	44879704	44880885		75341	NA	NA
4930564D02Rik	current symbol	MGI:1922519	4930564D02Rik	RIKEN cDNA 4930564D02 gene	protein coding gene	3	sense	105066844	105078806	ENSMUSG00000051788	75269	NA	NA
4930565D16Rik	current symbol	MGI:1922559	4930565D16Rik	RIKEN cDNA 4930565D16 gene	lincRNA gene	3	antisense	84349376	84379921	ENSMUSG00000104004	75309	NA	NA
4930565N06Rik	current symbol	MGI:1915556	4930565N06Rik	RIKEN cDNA 4930565N06 gene	antisense lncRNA gene	16	antisense	36880519	36897189	ENSMUSG00000084834	68306	NA	NA
4930567H12Rik	current symbol	MGI:1923181	4930567H12Rik	RIKEN cDNA 4930567H12 gene	lncRNA gene	8	sense	125584638	125616670		75930	NA	NA
4930567J20Rik	current symbol	MGI:1925471	4930567J20Rik	RIKEN cDNA 4930567J20 gene	lncRNA gene	16	sense	71249904	71267176		78221	NA	NA
4930567K20Rik	current symbol	MGI:1925306	4930567K20Rik	RIKEN cDNA 4930567K20 gene	lncRNA gene	10	sense	10751046	10758131		78056	NA	NA
4930568D16Rik	current symbol	MGI:1923109	4930568D16Rik	RIKEN cDNA 4930568D16 gene	protein coding gene	2	antisense	35354218	35367729	ENSMUSG00000026882	75859	NA	NA
4930568E12Rik	current symbol	MGI:1925469	4930568E12Rik	RIKEN cDNA 4930568E12 gene	lncRNA gene	9	antisense	13091267	13105855		78219	NA	NA
4930568G15Rik	current symbol	MGI:1923107	4930568G15Rik	RIKEN cDNA 4930568G15 gene	lincRNA gene	1	antisense	165064024	165091928	ENSMUSG00000102408	75857	NA	NA
4930570G19Rik	current symbol	MGI:1923158	4930570G19Rik	RIKEN cDNA 4930570G19 gene	lincRNA gene	3	antisense	156546753	156561746	ENSMUSG00000085084	329782	NA	NA
4930570N19Rik	old symbol	MGI:3642411	Arf4os	ADP-ribosylation factor 4, opposite strand	antisense lncRNA gene	14	antisense	26628407	26638183	ENSMUSG00000090861	791355	NA	NA
4930571K23Rik	current symbol	MGI:1923111	4930571K23Rik	RIKEN cDNA 4930571K23 gene	lincRNA gene	7	sense	125369012	125371007	ENSMUSG00000090457	75861	NA	NA
4930571O06Rik	current symbol	MGI:1925298	4930571O06Rik	RIKEN cDNA 4930571O06 gene	lncRNA gene	8		113517281	113550809		78048	NA	NA
4930572K03Rik	current symbol	MGI:1923166	4930572K03Rik	RIKEN cDNA 4930572K03 gene	lincRNA gene	5	sense	127170560	127184356	ENSMUSG00000105308	75916	NA	NA
4930572O13Rik	current symbol	MGI:1923112	4930572O13Rik	RIKEN cDNA 4930572O13 gene	lncRNA gene	14	antisense	25139795	25143241		75862	NA	NA
4930573O16Rik	current symbol	MGI:1925299	4930573O16Rik	RIKEN cDNA 4930573O16 gene	lncRNA gene	2	sense	52291002	52315240		78049	NA	NA
4930577N17Rik	current symbol	MGI:1914996	4930577N17Rik	RIKEN cDNA 4930577N17 gene	lncRNA gene	3	sense	51276759	51278383	ENSMUSG00000087440	67746	NA	NA
4930578C19Rik	current symbol	MGI:1923155	4930578C19Rik	RIKEN cDNA 4930578C19 gene	protein coding gene	X	antisense	18414881	18461397	ENSMUSG00000037358	75905	NA	NA
4930578E11Rik	current symbol	MGI:1925308	4930578E11Rik	RIKEN cDNA 4930578E11 gene	lncRNA gene	18	antisense	29396716	29496416		78058	NA	NA
4930578G10Rik	current symbol	MGI:1923202	4930578G10Rik	RIKEN cDNA 4930578G10 gene	protein coding gene	4	sense	42735545	42846248	ENSMUSG00000054885	102638670	NA	NA
4930578I06Rik	current symbol	MGI:1915000	4930578I06Rik	RIKEN cDNA 4930578I06 gene	protein coding gene	14	antisense	63971122	63987780	ENSMUSG00000021961	67750	NA	NA
4930578M01Rik	current symbol	MGI:1923201	4930578M01Rik	RIKEN cDNA 4930578M01 gene	lincRNA gene	15	sense	98985965	98989281	ENSMUSG00000097587	75951	NA	NA
4930578N18Rik	current symbol	MGI:1925465	4930578N18Rik	RIKEN cDNA 4930578N18 gene	lncRNA gene	16	sense	76122613	76156086		78215	NA	NA
4930579F01Rik	current symbol	MGI:1914991	4930579F01Rik	RIKEN cDNA 4930579F01 gene	protein coding gene	3	antisense	138164078	138193825	ENSMUSG00000012042	67741	NA	NA
4930579G18Rik	current symbol	MGI:1923163	4930579G18Rik	RIKEN cDNA 4930579G18 gene	antisense lncRNA gene	14	sense	54650511	54654607	ENSMUSG00000040840	75913	NA	NA
4930579G24Rik	current symbol	MGI:1923189	4930579G24Rik	RIKEN cDNA 4930579G24 gene	protein coding gene	3	sense	79629079	79632820	ENSMUSG00000027811	75939	NA	NA
4930579K19Rik	current symbol	MGI:1923131	4930579K19Rik	RIKEN cDNA 4930579K19 gene	unclassified non-coding RNA gene	9	antisense	98562229	98563611	ENSMUSG00000051074	75881	NA	NA
4930581F22Rik	current symbol	MGI:1926184	4930581F22Rik	RIKEN cDNA 4930581F22 gene	unclassified non-coding RNA gene	9	sense	35116728	35130922	ENSMUSG00000070315	78934	NA	NA
4930583K01Rik	current symbol	MGI:1914995	4930583K01Rik	RIKEN cDNA 4930583K01 gene	lncRNA gene	7	sense	118243865	118245551	ENSMUSG00000055159	67745	NA	NA
4930584F24Rik	current symbol	MGI:1923192	4930584F24Rik	RIKEN cDNA 4930584F24 gene	lincRNA gene	5	antisense	26460070	26493314	ENSMUSG00000029044	75942	NA	NA
4930590J08Rik	current symbol	MGI:2685917	4930590J08Rik	RIKEN cDNA 4930590J08 gene	protein coding gene	6	sense	91902809	91950725	ENSMUSG00000034063	381798	NA	NA
4930590L20Rik	current symbol	MGI:1923160	4930590L20Rik	RIKEN cDNA 4930590L20 gene	antisense lncRNA gene	1	antisense	140570176	140656404	ENSMUSG00000102368	75910	NA	NA
4930591A17Rik	current symbol	MGI:1915425	4930591A17Rik	RIKEN cDNA 4930591A17 gene	lincRNA gene	2	sense	179414936	179416882	ENSMUSG00000039138	68175	NA	NA
4930592A05Rik	current symbol	MGI:1923130	4930592A05Rik	RIKEN cDNA 4930592A05 gene	lncRNA gene	15	antisense	33593881	33653436		75880	NA	NA
4930592I03Rik	current symbol	MGI:1923103	4930592I03Rik	RIKEN cDNA 4930592I03 gene	lncRNA gene	18	antisense	82918405	82920560		75853	NA	NA
4930593A02Rik	current symbol	MGI:1923132	4930593A02Rik	RIKEN cDNA 4930593A02 gene	lincRNA gene	3	sense	58692589	58797331	ENSMUSG00000097725	71301	NA	NA
4930593C16Rik	current symbol	MGI:1925310	4930593C16Rik	RIKEN cDNA 4930593C16 gene	antisense lncRNA gene	9	antisense	120924455	120930802	ENSMUSG00000086365	78060	NA	NA
4930594C11Rik	current symbol	MGI:1924883	4930594C11Rik	RIKEN cDNA 4930594C11 gene	pseudogene	1	antisense	37485851	37488605	ENSMUSG00000103948	77633	NA	NA
4930595M18Rik	current symbol	MGI:3045300	4930595M18Rik	RIKEN cDNA 4930595M18 gene	protein coding gene	X	antisense	81419575	81458121	ENSMUSG00000060673	245492	NA	NA
4930596D02Rik	current symbol	MGI:3588288	4930596D02Rik	RIKEN cDNA 4930596D02 gene	protein coding gene	14	antisense	35809488	35811978	ENSMUSG00000041068	239036	NA	NA
4930596I21Rik	current symbol	MGI:1925479	4930596I21Rik	RIKEN cDNA 4930596I21 gene	intronic lncRNA gene	1	sense	138977656	138979246	ENSMUSG00000104900	78229	NA	NA
4930597A21Rik	current symbol	MGI:1922639	4930597A21Rik	RIKEN cDNA 4930597A21 gene	lincRNA gene	11	sense	44586317	44591229	ENSMUSG00000086501	75389	NA	NA
4930597G03Rik	current symbol	MGI:1922627	4930597G03Rik	RIKEN cDNA 4930597G03 gene	lncRNA gene	14	antisense	51317335	51345489		75377	NA	NA
4930599N23Rik	current symbol	MGI:1922629	4930599N23Rik	RIKEN cDNA 4930599N23 gene	antisense lncRNA gene	6	sense	39118473	39148312	ENSMUSG00000073144	75379	NA	NA
4931402G19Rik	current symbol	MGI:1918183	4931402G19Rik	RIKEN cDNA 4931402G19 gene	lncRNA gene	2	antisense	120455698	120469367		70933	NA	NA
4931403E22Rik	current symbol	MGI:1918192	4931403E22Rik	RIKEN cDNA 4931403E22 gene	unclassified non-coding RNA gene	19	antisense	26768801	26823907	ENSMUSG00000093772	70942	NA	NA
4931403G20Rik	current symbol	MGI:1918184	4931403G20Rik	RIKEN cDNA 4931403G20 gene	lincRNA gene	12	sense	69847635	69853671	ENSMUSG00000097329	70934	NA	NA
4931406B18Rik	current symbol	MGI:1921304	4931406B18Rik	RIKEN cDNA 4931406B18 gene	protein coding gene	7	antisense	43492044	43505940	ENSMUSG00000013353	74054	NA	NA
4931406C07Rik	current symbol	MGI:1918234	4931406C07Rik	RIKEN cDNA 4931406C07 gene	protein coding gene	9	antisense	15283337	15306448	ENSMUSG00000031938	70984	NA	NA
4931406H21Rik	current symbol	MGI:1924842	4931406H21Rik	RIKEN cDNA 4931406H21 gene	lncRNA gene	14	sense	25586804	25590661		77592	NA	NA
4931406P16Rik	current symbol	MGI:1924311	4931406P16Rik	RIKEN cDNA 4931406P16 gene	protein coding gene	7	antisense	34236707	34313551	ENSMUSG00000066571	233103	NA	NA
4931407E12Rik	current symbol	MGI:1918242	4931407E12Rik	RIKEN cDNA 4931407E12 gene	unclassified gene	14		21868628	21889765		70992	NA	NA
4931408C20Rik	current symbol	MGI:3588222	4931408C20Rik	RIKEN cDNA 4931408C20 gene	protein coding gene	1	antisense	26681814	26687460	ENSMUSG00000073722	210940	NA	NA
4931408D14Rik	current symbol	MGI:1924309	4931408D14Rik	RIKEN cDNA 4931408D14 gene	lncRNA gene	19	antisense	37258423	37264095		77059	NA	NA
4931409K22Rik	current symbol	MGI:3045319	4931409K22Rik	RIKEN cDNA 4931409K22 gene	protein coding gene	5	antisense	24543432	24556809	ENSMUSG00000038199	231045	NA	NA
4931412M21		No associated gene						NA	NA		NA	NA	NA
4931414P19Rik	current symbol	MGI:1921609	4931414P19Rik	RIKEN cDNA 4931414P19 gene	protein coding gene	14	antisense	54583663	54605908	ENSMUSG00000022179	74359	NA	NA
4931417E11Rik	current symbol	MGI:1913990	4931417E11Rik	RIKEN cDNA 4931417E11 gene	protein coding gene	6	antisense	73468581	73469619	ENSMUSG00000056197	66740	NA	NA
4931419H13Rik	current symbol	MGI:1918220	4931419H13Rik	RIKEN cDNA 4931419H13 gene	antisense lncRNA gene	3	sense	55055242	55084002	ENSMUSG00000106589	70970	NA	NA
4931423N10Rik	current symbol	MGI:1918231	4931423N10Rik	RIKEN cDNA 4931423N10 gene	protein coding gene	2	sense	23207476	23267129	ENSMUSG00000026774	70981	NA	NA
4931428F04Rik	current symbol	MGI:1921606	4931428F04Rik	RIKEN cDNA 4931428F04 gene	protein coding gene	8	antisense	105280410	105289528	ENSMUSG00000014837	74356	NA	NA
4931428L18Rik	current symbol	MGI:1918238	4931428L18Rik	RIKEN cDNA 4931428L18 gene	protein coding gene	1	antisense	31135226	31222684	ENSMUSG00000086727	70988	NA	NA
4931429I11Rik	old symbol	MGI:1918239	Jhy	juvenile hydrocephalus	protein coding gene	9	antisense	40894849	40964118	ENSMUSG00000032023	70989	NA	NA
4931429L15Rik	current symbol	MGI:1921611	4931429L15Rik	RIKEN cDNA 4931429L15 gene	protein coding gene	9	antisense	46303361	46319986	ENSMUSG00000056617	74361	NA	NA
4931429P17Rik	current symbol	MGI:1918221	4931429P17Rik	RIKEN cDNA 4931429P17 gene	lincRNA gene	13	antisense	47960330	48018608	ENSMUSG00000047324	70971	NA	NA
4931430N09Rik	current symbol	MGI:1921613	4931430N09Rik	RIKEN cDNA 4931430N09 gene	lncRNA gene	6	sense	118880158	118885543		74363	NA	NA
4931431B13Rik	current symbol	MGI:1918223	4931431B13Rik	RIKEN cDNA 4931431B13 gene	unclassified non-coding RNA gene	7	antisense	128192050	128203328	ENSMUSG00000108354	70973	NA	NA
4931431C16Rik	current symbol	MGI:1921614	4931431C16Rik	RIKEN cDNA 4931431C16 gene	antisense lncRNA gene	5	antisense	35581227	35588763	ENSMUSG00000055061	74364	NA	NA
4931431F19Rik	current symbol	MGI:1918230	4931431F19Rik	RIKEN cDNA 4931431F19 gene	protein coding gene	7	antisense	104127912	104129826	ENSMUSG00000055643	70980	NA	NA
4931440F15Rik	current symbol	MGI:2441689	4931440F15Rik	RIKEN cDNA 4931440F15 gene	protein coding gene	11	antisense	29822395	29825668	ENSMUSG00000078157	216622	NA	NA
4931440J10Rik	current symbol	MGI:1918250	4931440J10Rik	RIKEN cDNA 4931440J10 gene	lincRNA gene	14	sense	62760501	62830126	ENSMUSG00000097775	71000	NA	NA
4931440P22Rik	current symbol	MGI:1918254	4931440P22Rik	RIKEN cDNA 4931440P22 gene	protein coding gene	3	antisense	65507257	65529379	ENSMUSG00000074580	71004	NA	NA
4932411E22Rik	old symbol	MGI:2686021	Ankfn1	ankyrin-repeat and fibronectin type III domain containing 1	protein coding gene	11	antisense	89390223	89777653	ENSMUSG00000047773	382543	NA	NA
4932411N23Rik	current symbol	MGI:3045322	4932411N23Rik	RIKEN cDNA 4932411N23 gene	protein coding gene	X	antisense	126812462	126815868	ENSMUSG00000058670	237029	NA	NA
4932412D23Rik	current symbol	MGI:1922972	4932412D23Rik	RIKEN cDNA 4932412D23 gene	unclassified non-coding RNA gene	16	antisense	42725702	42875762	ENSMUSG00000075070	75722	NA	NA
4932413F04Rik	current symbol	MGI:2441690	4932413F04Rik	RIKEN cDNA 4932413F04 gene	antisense lncRNA gene	9	sense	103557090	103565891	ENSMUSG00000099616	319215	NA	NA
4932414J04Rik	current symbol	MGI:3605619	4932414J04Rik	RIKEN cDNA 4932414J04 gene	lincRNA gene	11	antisense	21494730	21511178	ENSMUSG00000078962	237694	NA	NA
4932414N04Rik	current symbol	MGI:1922971	4932414N04Rik	RIKEN cDNA 4932414N04 gene	protein coding gene	2	sense	68656486	68748467	ENSMUSG00000079324	75721	NA	NA
4932415M13Rik	current symbol	MGI:3608328	4932415M13Rik	RIKEN cDNA 4932415M13 gene	lincRNA gene	17	sense	53716509	53733843	ENSMUSG00000062036	211496	NA	NA
4932416H05Rik	current symbol	MGI:3606162	4932416H05Rik	RIKEN cDNA 4932416H05 gene	lncRNA gene	2	antisense	129798369	129801459		654409	NA	NA
4932416K20Rik	current symbol	MGI:3045271	4932416K20Rik	RIKEN cDNA 4932416K20 gene	pseudogene	8	sense	104795237	104798792	ENSMUSG00000069925	442809	NA	NA
4932418E24Rik	old symbol	MGI:3045295	Ccdc187	coiled-coil domain containing 187	protein coding gene	2	antisense	26271646	26294557	ENSMUSG00000048038	329366	NA	NA
4932435O22Rik	current symbol	MGI:2442791	4932435O22Rik	RIKEN cDNA 4932435O22 gene	lincRNA gene	11	antisense	114413401	114448860	ENSMUSG00000062391	319819	NA	NA
4932438A13Rik	current symbol	MGI:2444631	4932438A13Rik	RIKEN cDNA 4932438A13 gene	protein coding gene	3	sense	36863104	37053033	ENSMUSG00000037270	229227	NA	NA
4932438H23Rik	current symbol	MGI:1921637	4932438H23Rik	RIKEN cDNA 4932438H23 gene	protein coding gene	16	antisense	91053935	91095122	ENSMUSG00000039851	74387	NA	NA
4932441J04Rik	current symbol	MGI:2441691	4932441J04Rik	RIKEN cDNA 4932441J04 gene	unclassified non-coding RNA gene	5	antisense	57570082	57720201	ENSMUSG00000097216	319216	NA	NA
4932442L08Rik	old symbol	MGI:1921682	Fam90a1b	family with sequence similarity 90, member A1B	protein coding gene	X	antisense	94355053	94366777	ENSMUSG00000043549	631145	NA	NA
4932443I19Rik	current symbol	MGI:2685952	4932443I19Rik	RIKEN cDNA 4932443I19 gene	protein coding gene	8	sense	13705889	13743084	ENSMUSG00000090336	403185	NA	NA
4932702P03Rik	current symbol	MGI:1921673	4932702P03Rik	RIKEN cDNA 4932702P03 gene	antisense lncRNA gene	13	sense	24905593	24914272	ENSMUSG00000086796	73326	NA	NA
4932703K07Rik	current symbol	MGI:1918256	4932703K07Rik	RIKEN cDNA 4932703K07 gene	unclassified gene	12		110696003	110697115		71006	NA	NA
4933400A11Rik	current symbol	MGI:1913997	4933400A11Rik	RIKEN cDNA 4933400A11 gene	protein coding gene	X	antisense	169776257	169779635	ENSMUSG00000055357	66747	NA	NA
4933400B14Rik	current symbol	MGI:1918302	4933400B14Rik	RIKEN cDNA 4933400B14 gene	lncRNA gene	17	sense	89320227	89327333		71052	NA	NA
4933400C23Rik	current symbol	MGI:5439420	4933400C23Rik	RIKEN cDNA 4933400C23 gene	lincRNA gene	9	sense	92717456	92795711	ENSMUSG00000101734	331003	NA	NA
4933400F21Rik	current symbol	MGI:1921653	4933400F21Rik	RIKEN cDNA 4933400F21 gene	unclassified non-coding RNA gene	1	antisense	89650529	89683908	ENSMUSG00000102009	74403	NA	NA
4933400L20Rik	current symbol	MGI:1918308	4933400L20Rik	RIKEN cDNA 4933400L20 gene	lncRNA gene	8	sense	103603782	103680384	ENSMUSG00000110336	71058	NA	NA
4933401B06Rik	current symbol	MGI:1918261	4933401B06Rik	RIKEN cDNA 4933401B06 gene	pseudogene	X	sense	107542582	107543800	ENSMUSG00000055700	71011	NA	NA
4933401D09Rik	current symbol	MGI:1918258	4933401D09Rik	RIKEN cDNA 4933401D09 gene	lncRNA gene	17	sense	15631788	15641102		71008	NA	NA
4933401H06Rik	current symbol	MGI:1918288	4933401H06Rik	RIKEN cDNA 4933401H06 gene	unclassified non-coding RNA gene	3	antisense	135833701	135840269	ENSMUSG00000106306	71038	NA	NA
4933402C06Rik	current symbol	MGI:1918279	4933402C06Rik	RIKEN cDNA 4933402C06 gene	lincRNA gene	7	sense	40674737	40691273	ENSMUSG00000102004	71029	NA	NA
4933402D24Rik	current symbol	MGI:1921676	4933402D24Rik	RIKEN cDNA 4933402D24 gene	protein coding gene	1	antisense	63754907	63769267	ENSMUSG00000025961	74426	NA	NA
4933402E13Rik	current symbol	MGI:1921687	4933402E13Rik	RIKEN cDNA 4933402E13 gene	protein coding gene	X	sense	62287142	62292078	ENSMUSG00000045330	74437	NA	NA
4933402J07Rik	current symbol	MGI:3607717	4933402J07Rik	RIKEN cDNA 4933402J07 gene	protein coding gene	8	sense	87563853	87589424	ENSMUSG00000069971	330820	NA	NA
4933402J10Rik	current symbol	MGI:1918307	4933402J10Rik	RIKEN cDNA 4933402J10 gene	lincRNA gene	5	antisense	59963119	59986004	ENSMUSG00000106013	71057	NA	NA
4933402J15Rik	current symbol	MGI:1921675	4933402J15Rik	RIKEN cDNA 4933402J15 gene	lncRNA gene	14	sense	74355527	74369741		74425	NA	NA
4933402N03Rik	current symbol	MGI:1914681	4933402N03Rik	RIKEN cDNA 4933402N03 gene	protein coding gene	7	antisense	131137713	131146314	ENSMUSG00000013668	233918	NA	NA
4933402P03Rik	current symbol	MGI:1918293	4933402P03Rik	RIKEN cDNA 4933402P03 gene	protein coding gene	11	antisense	69816566	69818465	ENSMUSG00000044084	108803	NA	NA
4933403O08Rik	current symbol	MGI:1918280	4933403O08Rik	RIKEN cDNA 4933403O08 gene	protein coding gene	X	sense	112239049	112243852	ENSMUSG00000079460	71030	NA	NA
4933404G15Rik	current symbol	MGI:1921316	4933404G15Rik	RIKEN cDNA 4933404G15 gene	lncRNA gene	16	antisense	16707687	16718121		74066	NA	NA
4933404K08Rik	current symbol	MGI:1921311	4933404K08Rik	RIKEN cDNA 4933404K08 gene	lincRNA gene	13	sense	23278350	23282267	ENSMUSG00000085122	74061	NA	NA
4933404O12Rik	current symbol	MGI:1914002	4933404O12Rik	RIKEN cDNA 4933404O12 gene	lincRNA gene	5	sense	136919146	136937112	ENSMUSG00000097908	66752	NA	NA
4933405D12Rik	current symbol	MGI:1921307	4933405D12Rik	RIKEN cDNA 4933405D12 gene	antisense lncRNA gene	3	antisense	122864737	122924116	ENSMUSG00000097852	74057	NA	NA
