Bioassay	ExternalID	Batch	Genotype	OrganismPart	Treatment	Gender	Timepoint	Sample	Dataset	ExpMatrixName	Original_genotype	Genotype2	Age_in_weeks	Section	Grown_with	Scan_batch	Dataset_assigned
GSE48622_Biomat_1___BioAssayImplId=234305Name=Hipocampus_APLP2KO_rep4	GSM1182485	NA	APLP2_KO	Hippocampus	NA	M	2_months	APLP2KO_rep4	GSE48622	NA	APLP2_KO	NA	NA	NA	NA	NA	NA
GSE48622_Biomat_2___BioAssayImplId=234304Name=Hipocampus_N.dCKO_rep4	GSM1182486	NA	N_dC_KO	Hippocampus	NA	M	2_months	N.dCKO_rep4	GSE48622	NA	N_dC_KO	NA	NA	NA	NA	NA	NA
GSE48622_Biomat_3___BioAssayImplId=234307Name=Hipocampus_APLP2KO_rep3	GSM1182483	NA	APLP2_KO	Hippocampus	NA	M	2_months	APLP2KO_rep3	GSE48622	NA	APLP2_KO	NA	NA	NA	NA	NA	NA
GSE48622_Biomat_4___BioAssayImplId=234306Name=Hipocampus_N.dCKO_rep3	GSM1182484	NA	N_dC_KO	Hippocampus	NA	M	2_months	N.dCKO_rep3	GSE48622	NA	N_dC_KO	NA	NA	NA	NA	NA	NA
GSE48622_Biomat_5___BioAssayImplId=234300Name=Hipocampus_WT_rep4	GSM1182490	NA	WT	Hippocampus	NA	M	2_months	WT_rep4	GSE48622	NA	WT	NA	NA	NA	NA	NA	NA
GSE48622_Biomat_6___BioAssayImplId=234309Name=Hipocampus_N.dCKO_rep2	GSM1182481	NA	N_dC_KO	Hippocampus	NA	M	2_months	N.dCKO_rep2	GSE48622	NA	N_dC_KO	NA	NA	NA	NA	NA	NA
GSE48622_Biomat_7___BioAssayImplId=234308Name=Hipocampus_APLP2KO_rep2	GSM1182482	NA	APLP2_KO	Hippocampus	NA	M	2_months	APLP2KO_rep2	GSE48622	NA	APLP2_KO	NA	NA	NA	NA	NA	NA
GSE48622_Biomat_8___BioAssayImplId=234315Name=Hipocampus_N.dCKO_rep1	GSM1182475	NA	N_dC_KO	Hippocampus	NA	M	2_months	N.dCKO_rep1	GSE48622	NA	N_dC_KO	NA	NA	NA	NA	NA	NA
GSE48622_Biomat_9___BioAssayImplId=234310Name=Hipocampus_APPKO_rep2	GSM1182480	NA	APP_KO	Hippocampus	NA	M	2_months	APPKO_rep2	GSE48622	NA	APP_KO	NA	NA	NA	NA	NA	NA
GSE50521_Biomat_10___BioAssayImplId=379910Name=Hippocampus5xFAD1	GSM1220679	batch_1_09_08_12	5xFAD	Hippocampus	NA	M	14-15_months	5xFAD1	GSE50521	NA	NA	5xFAD	NA	NA	NA	NA	NA
GSE50521_Biomat_11___BioAssayImplId=379916Name=Hippocampus5xFAD;eIF2+/S51A1	GSM1220680	batch_2_10_08_12	5xFAD	Hippocampus	NA	F	14-15_months	5xFAD;eIF2+_S51A1	GSE50521	NA	NA	5xFAD_eIF2a	NA	NA	NA	NA	NA
GSE50521_Biomat_12___BioAssayImplId=379915Name=Hippocampus5xFAD2	GSM1220681	batch_2_10_08_12	5xFAD	Hippocampus	NA	F	14-15_months	5xFAD2	GSE50521	NA	NA	5xFAD	NA	NA	NA	NA	NA
GSE50521_Biomat_1___BioAssayImplId=379914Name=HippocampuseIF2+/S51A2	GSM1220683	batch_2_10_08_12	WT	Hippocampus	NA	M	14-15_months	eIF2+_S51A2	GSE50521	NA	NA	eIF2a	NA	NA	NA	NA	NA
GSE50521_Biomat_2___BioAssayImplId=379909Name=HippocampuseIF2?+/S51A1	GSM1220682	batch_1_09_08_12	WT	Hippocampus	NA	F	14-15_months	eIF2+_S51A1	GSE50521	NA	NA	eIF2a	NA	NA	NA	NA	NA
GSE50521_Biomat_3___BioAssayImplId=379913Name=Hippocampuswild.type2	GSM1220685	batch_2_10_08_12	WT	Hippocampus	NA	M	14-15_months	WT2	GSE50521	NA	NA	WT	NA	NA	NA	NA	NA
GSE50521_Biomat_4___BioAssayImplId=379912Name=HippocampuseIF2?+/S51A3	GSM1220684	batch_2_10_08_12	WT	Hippocampus	NA	M	14-15_months	eIF2+_S51A3	GSE50521	NA	NA	eIF2a	NA	NA	NA	NA	NA
GSE50521_Biomat_5___BioAssayImplId=379917Name=Hippocampus5xFAD;eIF2+/S51A2	GSM1220687	batch_1_09_08_12	5xFAD	Hippocampus	NA	M	14-15_months	5xFAD;eIF2+_S51A2	GSE50521	NA	NA	5xFAD_eIF2a	NA	NA	NA	NA	NA
GSE50521_Biomat_6___BioAssayImplId=379919Name=Hippocampuswild.type1	GSM1220678	batch_1_09_08_12	WT	Hippocampus	NA	M	14-15_months	WT1	GSE50521	NA	NA	WT	NA	NA	NA	NA	NA
GSE50521_Biomat_7___BioAssayImplId=379918Name=Hippocampus5xFAD3	GSM1220686	batch_2_10_08_12	5xFAD	Hippocampus	NA	M	14-15_months	5xFAD3	GSE50521	NA	NA	5xFAD	NA	NA	NA	NA	NA
GSE50521_Biomat_8___BioAssayImplId=379911Name=Hippocampus5xFAD;eIF2?+/S51A3	GSM1220689	batch_2_10_08_12	5xFAD	Hippocampus	NA	M	14-15_months	5xFAD;eIF2+_S51A3	GSE50521	NA	NA	5xFAD_eIF2a	NA	NA	NA	NA	NA
GSE50521_Biomat_9___BioAssayImplId=379908Name=Hippocampuswild.type3	GSM1220688	batch_2_10_08_12	WT	Hippocampus	NA	F	14-15_months	WT3	GSE50521	NA	NA	WT	NA	NA	NA	NA	NA
GSE52022_Biomat_1__BioAssayImpIId=0Name=4mon_WT_rep1	GSM1257653	NA	WT	Hippocampus	NA	F	4_months	4mon_WT_rep1	GSE52022	NA	NA	NA	NA	NA	NA	NA	NA
GSE52022_Biomat_2__BioAssayImpIId=0Name=4mon_WT_rep2	GSM1257654	NA	WT	Hippocampus	NA	F	4_months	4mon_WT_rep2	GSE52022	NA	NA	NA	NA	NA	NA	NA	NA
GSE52022_Biomat_3__BioAssayImpIId=0Name=4mon_5XFAD_rep1	GSM1257655	NA	5xFAD	Hippocampus	NA	F	4_months	4mon_5XFAD_rep1	GSE52022	NA	NA	NA	NA	NA	NA	NA	NA
GSE52022_Biomat_4__BioAssayImpIId=0Name=4mon_5XFAD_rep2	GSM1257656	NA	5xFAD	Hippocampus	NA	F	4_months	4mon_5XFAD_rep2	GSE52022	NA	NA	NA	NA	NA	NA	NA	NA
GSE52022_Biomat_5__BioAssayImpIId=0Name=8mon_WT_rep1	GSM1257657	NA	WT	Hippocampus	NA	F	8_months	8mon_WT_rep1	GSE52022	NA	NA	NA	NA	NA	NA	NA	NA
GSE52022_Biomat_6__BioAssayImpIId=0Name=8mon_WT_rep2	GSM1257658	NA	WT	Hippocampus	NA	F	8_months	8mon_WT_rep2	GSE52022	NA	NA	NA	NA	NA	NA	NA	NA
GSE52022_Biomat_7__BioAssayImpIId=0Name=8mon_5xFAD_rep1	GSM1257659	NA	5xFAD	Hippocampus	NA	F	8_months	8mon_5xFAD_rep1	GSE52022	NA	NA	NA	NA	NA	NA	NA	NA
GSE52022_Biomat_8__BioAssayImpIId=0Name=8mon_5xFAD_rep2	GSM1257660	NA	5xFAD	Hippocampus	NA	F	8_months	8mon_5xFAD_rep2	GSE52022	NA	NA	NA	NA	NA	NA	NA	NA
GSE53480_Biomat_10___BioAssayImplId=339827Name=Wild.typemouseinjectedwithAAVTFEBrep1	GSM1294371	batch1_2012-06-13	WT	Hippocampus	TFEB	F	4_months	WT_TFEB_rep1	GSE53480	NA	NA	NA	NA	NA	NA	NA	NA
GSE53480_Biomat_11___BioAssayImplId=339820Name=Tg4510mouseinjectedwithAAVTFEBrep4	GSM1294378	batch1_2012-06-13	Tg4510	Hippocampus	TFEB	M	4_months	Tg4510_TFEB_rep4	GSE53480	NA	NA	NA	NA	NA	NA	NA	NA
GSE53480_Biomat_12___BioAssayImplId=339812Name=Wild.typecontrolmouserep4	GSM1294386	batch1_2012-06-13	WT	Hippocampus	reference	M	4_months	WT_rep4	GSE53480	NA	NA	NA	NA	NA	NA	NA	NA
GSE53480_Biomat_13___BioAssayImplId=339821Name=Wild.typemouseinjectedwithAAVTFEBrep3	GSM1294377	batch1_2012-06-13	WT	Hippocampus	TFEB	F	4_months	WT_TFEB_rep3	GSE53480	NA	NA	NA	NA	NA	NA	NA	NA
GSE53480_Biomat_14___BioAssayImplId=339822Name=Wild.typemouseinjectedwithAAVTFEBrep2	GSM1294376	batch1_2012-06-13	WT	Hippocampus	TFEB	F	4_months	WT_TFEB_rep2	GSE53480	NA	NA	NA	NA	NA	NA	NA	NA
GSE53480_Biomat_15___BioAssayImplId=339823Name=Tg4510mouseinjectedwithAAVTFEBrep3	GSM1294375	batch1_2012-06-13	Tg4510	Hippocampus	TFEB	M	4_months	Tg4510_TFEB_rep3	GSE53480	NA	NA	NA	NA	NA	NA	NA	NA
GSE53480_Biomat_16___BioAssayImplId=339819Name=Tg4510controlmouserep2	GSM1294379	batch1_2012-06-13	Tg4510	Hippocampus	reference	M	4_months	Tg4510_rep2	GSE53480	NA	NA	NA	NA	NA	NA	NA	NA
GSE53480_Biomat_1___BioAssayImplId=339818Name=Wild.typecontrolmouserep1	GSM1294380	batch1_2012-06-13	WT	Hippocampus	reference	M	4_months	WT_rep1	GSE53480	NA	NA	NA	NA	NA	NA	NA	NA
GSE53480_Biomat_2___BioAssayImplId=339817Name=Wild.typecontrolmouserep2	GSM1294381	batch1_2012-06-13	WT	Hippocampus	reference	M	4_months	WT_rep2	GSE53480	NA	NA	NA	NA	NA	NA	NA	NA
GSE53480_Biomat_3___BioAssayImplId=339815Name=Tg4510controlmouserep4	GSM1294383	batch1_2012-06-13	Tg4510	Hippocampus	reference	F	4_months	Tg4510_rep4	GSE53480	NA	NA	NA	NA	NA	NA	NA	NA
GSE53480_Biomat_4___BioAssayImplId=339824Name=Tg4510controlmouserep1	GSM1294374	batch1_2012-06-13	Tg4510	Hippocampus	reference	F	4_months	Tg4510_rep1	GSE53480	NA	NA	NA	NA	NA	NA	NA	NA
GSE53480_Biomat_5___BioAssayImplId=339825Name=Tg4510mouseinjectedwithAAVTFEBrep2	GSM1294373	batch1_2012-06-13	Tg4510	Hippocampus	TFEB	F	4_months	Tg4510_TFEB_rep2	GSE53480	NA	NA	NA	NA	NA	NA	NA	NA
GSE53480_Biomat_6___BioAssayImplId=339816Name=Tg4510controlmouserep3	GSM1294382	batch1_2012-06-13	Tg4510	Hippocampus	reference	M	4_months	Tg4510_rep3	GSE53480	NA	NA	NA	NA	NA	NA	NA	NA
GSE53480_Biomat_7___BioAssayImplId=339813Name=Wild.typecontrolmouserep3	GSM1294385	batch1_2012-06-13	WT	Hippocampus	reference	F	4_months	WT_rep3	GSE53480	NA	NA	NA	NA	NA	NA	NA	NA
GSE53480_Biomat_8___BioAssayImplId=339826Name=Tg4510mouseinjectedwithAAVTFEBrep1	GSM1294372	batch1_2012-06-13	Tg4510	Hippocampus	TFEB	M	4_months	Tg4510_TFEB_rep1	GSE53480	NA	NA	NA	NA	NA	NA	NA	NA
GSE53480_Biomat_9___BioAssayImplId=339814Name=Wild.typemouseinjectedwithAAVTFEBrep4	GSM1294384	batch1_2012-06-13	WT	Hippocampus	TFEB	F	4_months	WT_TFEB_rep4	GSE53480	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_10___BioAssayImplId=380406Name=3m_bfb_VH[NFND_251269423824_S01_GE2.v4_91]	GSM1553773	Batch_04_02_02_07	WT	Basal_forebrain	NA	F	3_months	3m_bfb_VH_rep5	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_11___BioAssayImplId=380405Name=3m_ctx_AD11[NFND_251269423531_S01_GE2.v4_91]	GSM1553774	Batch_03_31_01_07	AD11	Cortex	NA	F	3_months	3m_ctx_AD11_rep1	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_12___BioAssayImplId=380404Name=3m_ctx_AD11[NFND_251269423537_S01_GE2.v4_91]	GSM1553775	Batch_03_31_01_07	AD11	Cortex	NA	F	3_months	3m_ctx_AD11_rep2	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_13___BioAssayImplId=380403Name=3m_ctx_AD11[NFND_251269423539_S01_GE2.v4_91]	GSM1553776	Batch_03_31_01_07	AD11	Cortex	NA	F	3_months	3m_ctx_AD11_rep3	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_14___BioAssayImplId=380402Name=3m_ctx_AD11[NFND_251269423541_S01_GE2.v4_91]	GSM1553777	Batch_03_31_01_07	AD11	Cortex	NA	F	3_months	3m_ctx_AD11_rep4	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_16___BioAssayImplId=380400Name=3m_ctx_VH[NFND_251269423536_S01_GE2.v4_91]	GSM1553779	Batch_03_31_01_07	WT	Cortex	NA	F	3_months	3m_ctx_VH_rep1	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_17___BioAssayImplId=380399Name=3m_ctx_VH[NFND_251269423538_S01_GE2.v4_91]	GSM1553780	Batch_03_31_01_07	WT	Cortex	NA	F	3_months	3m_ctx_VH_rep2	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_18___BioAssayImplId=380398Name=3m_ctx_VH[NFND_251269423540_S01_GE2.v4_91]	GSM1553781	Batch_03_31_01_07	WT	Cortex	NA	F	3_months	3m_ctx_VH_rep3	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_19___BioAssayImplId=380397Name=3m_ctx_VH[NFND_251269423542_S01_GE2.v4_91]	GSM1553782	Batch_03_31_01_07	WT	Cortex	NA	F	3_months	3m_ctx_VH_rep4	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_1___BioAssayImplId=380415Name=3m_bfb_AD11[NFND_251269423810_S01_GE2.v4_91]	GSM1553764	Batch_04_02_02_07	AD11	Basal_forebrain	NA	F	3_months	3m_bfb_AD11_rep1	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_24___BioAssayImplId=380392Name=3m_hp_AD11[NFND_251269424596_S01_GE2.v4_91]	GSM1553787	Batch_05_09_02_07	AD11	Hippocampus	NA	F	3_months	3m_hp_AD11_rep4	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_25___BioAssayImplId=380391Name=3m_hp_AD11[NFND_251269424598_S01_GE2.v4_91]	GSM1553788	Batch_05_09_02_07	AD11	Hippocampus	NA	F	3_months	3m_hp_AD11_rep5	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_26___BioAssayImplId=380390Name=3m_hp_VH[NFND_251269423831_S01_GE2.v4_91]	GSM1553789	Batch_05_09_02_07	WT	Hippocampus	NA	F	3_months	3m_hp_VH_rep1	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_27___BioAssayImplId=380389Name=3m_hp_VH[NFND_251269423833_S01_GE2.v4_91]	GSM1553790	Batch_05_09_02_07	WT	Hippocampus	NA	F	3_months	3m_hp_VH_rep2	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_30___BioAssayImplId=380386Name=3m_hp_VH[NFND_251269424599_S01_GE2.v4_91]	GSM1553793	Batch_05_09_02_07	WT	Hippocampus	NA	F	3_months	3m_hp_VH_rep5	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_31___BioAssayImplId=380385Name=15m_bfb_AD11[NFND_251269422747_S01_GE2.v4_91]	GSM1553823	Batch_01_24_11_06	AD11	Basal_forebrain	NA	F	15_months	15m_bfb_AD11_rep1	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_32___BioAssayImplId=380384Name=15m_bfb_AD11[NFND_251269422748_S01_GE2.v4_91]	GSM1553824	Batch_01_24_11_06	AD11	Basal_forebrain	NA	F	15_months	15m_bfb_AD11_rep2	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_34___BioAssayImplId=380382Name=15m_bfb_AD11[NFND_251269422936_S01_GE2.v4_91]	GSM1553826	Batch_01_24_11_06	AD11	Basal_forebrain	NA	F	15_months	15m_bfb_AD11_rep4	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_37___BioAssayImplId=380379Name=15m_bfb_VH[NFND_251269422744_S01_GE2.v4_91]	GSM1553829	Batch_01_24_11_06	WT	Basal_forebrain	NA	F	15_months	15m_bfb_VH_rep2	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_38___BioAssayImplId=380378Name=15m_bfb_VH[NFND_251269422746_S01_GE2.v4_91]	GSM1553830	Batch_01_24_11_06	WT	Basal_forebrain	NA	F	15_months	15m_bfb_VH_rep3	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_39___BioAssayImplId=380377Name=15m_bfb_VH[NFND_251269423498_S01_GE2.v4_91]	GSM1553831	Batch_01_24_11_06	WT	Basal_forebrain	NA	F	15_months	15m_bfb_VH_rep4	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_41___BioAssayImplId=380375Name=15m_ctx_AD11[NFND_251269423490_S01_GE2.v4_91]	GSM1553833	Batch_02_01_12_06	AD11	Cortex	NA	F	15_months	15m_ctx_AD11_rep1	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_42___BioAssayImplId=380374Name=15m_ctx_AD11[NFND_251269423492_S01_GE2.v4_91]	GSM1553834	Batch_02_01_12_06	AD11	Cortex	NA	F	15_months	15m_ctx_AD11_rep2	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_44___BioAssayImplId=380372Name=15m_ctx_AD11[NFND_251269423496_S01_GE2.v4_91]	GSM1553836	Batch_02_01_12_06	AD11	Cortex	NA	F	15_months	15m_ctx_AD11_rep4	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_45___BioAssayImplId=380371Name=15m_ctx_AD11[NFND_251269423534_S01_GE2.v4_91]	GSM1553837	Batch_02_01_12_06	AD11	Cortex	NA	F	15_months	15m_ctx_AD11_rep5	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_46___BioAssayImplId=380370Name=15m_ctx_VH[NFND_251269423491_S01_GE2.v4_91]	GSM1553838	Batch_02_01_12_06	WT	Cortex	NA	F	15_months	15m_ctx_VH_rep1	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_47___BioAssayImplId=380369Name=15m_ctx_VH[NFND_251269423493_S01_GE2.v4_91]	GSM1553839	Batch_02_01_12_06	WT	Cortex	NA	F	15_months	15m_ctx_VH_rep2	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_48___BioAssayImplId=380368Name=15m_ctx_VH[NFND_251269423495_S01_GE2.v4_91]	GSM1553840	Batch_02_01_12_06	WT	Cortex	NA	F	15_months	15m_ctx_VH_rep3	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_50___BioAssayImplId=380366Name=15m_ctx_VH[NFND_251269423535_S01_GE2.v4_91]	GSM1553842	Batch_02_01_12_06	WT	Cortex	NA	F	15_months	15m_ctx_VH_rep5	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_7___BioAssayImplId=380409Name=3m_bfb_VH[NFND_251269423813_S01_GE2.v4_91]	GSM1553770	Batch_04_02_02_07	WT	Basal_forebrain	NA	F	3_months	3m_bfb_VH_rep2	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
ModeledafterGSE63617_Biomat_15___BioAssayImplId=380401Name=3m_ctx_AD11[NFND_251269423544_S01_GE2.v4_91]	GSM1553778	Batch_03_31_01_07	AD11	Cortex	NA	F	3_months	3m_ctx_AD11_rep5	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
ModeledafterGSE63617_Biomat_20___BioAssayImplId=380396Name=3m_ctx_VH[NFND_251269423545_S01_GE2.v4_91]	GSM1553783	Batch_03_31_01_07	WT	Cortex	NA	F	3_months	3m_ctx_VH_rep5	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
ModeledafterGSE63617_Biomat_21___BioAssayImplId=380395Name=3m_hp_AD11[NFND_251269423830_S01_GE2.v4_91]	GSM1553784	Batch_05_09_02_07	AD11	Hippocampus	NA	F	3_months	3m_hp_AD11_rep1	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
ModeledafterGSE63617_Biomat_22___BioAssayImplId=380394Name=3m_hp_AD11[NFND_251269423832_S01_GE2.v4_91]	GSM1553785	Batch_05_09_02_07	AD11	Hippocampus	NA	F	3_months	3m_hp_AD11_rep2	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
ModeledafterGSE63617_Biomat_23___BioAssayImplId=380393Name=3m_hp_AD11[NFND_251269423834_S01_GE2.v4_91]	GSM1553786	Batch_05_09_02_07	AD11	Hippocampus	NA	F	3_months	3m_hp_AD11_rep3	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
ModeledafterGSE63617_Biomat_28___BioAssayImplId=380388Name=3m_hp_VH[NFND_251269424595_S01_GE2.v4_91]	GSM1553791	Batch_05_09_02_07	WT	Hippocampus	NA	F	3_months	3m_hp_VH_rep3	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
ModeledafterGSE63617_Biomat_29___BioAssayImplId=380387Name=3m_hp_VH[NFND_251269424597_S01_GE2.v4_91]	GSM1553792	Batch_05_09_02_07	WT	Hippocampus	NA	F	3_months	3m_hp_VH_rep4	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
ModeledafterGSE63617_Biomat_2___BioAssayImplId=380414Name=3m_bfb_AD11[NFND_251269423812_S01_GE2.v4_91]	GSM1553765	Batch_04_02_02_07	AD11	Basal_forebrain	NA	F	3_months	3m_bfb_AD11_rep2	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
ModeledafterGSE63617_Biomat_33___BioAssayImplId=380383Name=15m_bfb_AD11[NFND_251269422935_S01_GE2.v4_91]	GSM1553825	Batch_01_24_11_06	AD11	Basal_forebrain	NA	F	15_months	15m_bfb_AD11_rep3	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
ModeledafterGSE63617_Biomat_35___BioAssayImplId=380381Name=15m_bfb_AD11[NFND_251269422937_S01_GE2.v4_91]	GSM1553827	Batch_01_24_11_06	AD11	Basal_forebrain	NA	F	15_months	15m_bfb_AD11_rep5	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
ModeledafterGSE63617_Biomat_36___BioAssayImplId=380380Name=15m_bfb_VH[NFND_251269422743_S01_GE2.v4_91]	GSM1553828	Batch_01_24_11_06	WT	Basal_forebrain	NA	F	15_months	15m_bfb_VH_rep1	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
ModeledafterGSE63617_Biomat_3___BioAssayImplId=380413Name=3m_bfb_AD11[NFND_251269423814_S01_GE2.v4_91]	GSM1553766	Batch_04_02_02_07	AD11	Basal_forebrain	NA	F	3_months	3m_bfb_AD11_rep3	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
ModeledafterGSE63617_Biomat_40___BioAssayImplId=380376Name=15m_bfb_VH[NFND_251269423499_S01_GE2.v4_91]	GSM1553832	Batch_01_24_11_06	WT	Basal_forebrain	NA	F	15_months	15m_bfb_VH_rep5	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
ModeledafterGSE63617_Biomat_43___BioAssayImplId=380373Name=15m_ctx_AD11[NFND_251269423494_S01_GE2.v4_91]	GSM1553835	Batch_02_01_12_06	AD11	Cortex	NA	F	15_months	15m_ctx_AD11_rep3	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
ModeledafterGSE63617_Biomat_49___BioAssayImplId=380367Name=15m_ctx_VH[NFND_251269423532_S01_GE2.v4_91]	GSM1553841	Batch_02_01_12_06	WT	Cortex	NA	F	15_months	15m_ctx_VH_rep4	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
ModeledafterGSE63617_Biomat_4___BioAssayImplId=380412Name=3m_bfb_AD11[NFND_251269423821_S01_GE2.v4_91]	GSM1553767	Batch_04_02_02_07	AD11	Basal_forebrain	NA	F	3_months	3m_bfb_AD11_rep4	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
ModeledafterGSE63617_Biomat_5___BioAssayImplId=380411Name=3m_bfb_AD11[NFND_251269423823_S01_GE2.v4_91]	GSM1553768	Batch_04_02_02_07	AD11	Basal_forebrain	NA	F	3_months	3m_bfb_AD11_rep5	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
ModeledafterGSE63617_Biomat_6___BioAssayImplId=380410Name=3m_bfb_VH[NFND_251269423811_S01_GE2.v4_91]	GSM1553769	Batch_04_02_02_07	WT	Basal_forebrain	NA	F	3_months	3m_bfb_VH_rep1	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
ModeledafterGSE63617_Biomat_8___BioAssayImplId=380408Name=3m_bfb_VH[NFND_251269423820_S01_GE2.v4_91]	GSM1553771	Batch_04_02_02_07	WT	Basal_forebrain	NA	F	3_months	3m_bfb_VH_rep3	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
ModeledafterGSE63617_Biomat_9___BioAssayImplId=380407Name=3m_bfb_VH[NFND_251269423822_S01_GE2.v4_91]	GSM1553772	Batch_04_02_02_07	WT	Basal_forebrain	NA	F	3_months	3m_bfb_VH_rep4	GSE63617.1	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_15___BioAssayImplId=380351Name=1m_ctx_AD11[NFND_251486811718_S01_GE2.v4_91_1_2]	GSM1553748	Batch_08_11_07_07	AD11	Cortex	NA	F	1_month	1m_ctx_AD11_rep5	GSE63617.2	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_20___BioAssayImplId=380346Name=1m_ctx_VH[NFND_251486812126_S01_GE2.v4_91_1_3]	GSM1553753	Batch_08_11_07_07	WT	Cortex	NA	F	1_month	1m_ctx_VH_rep5	GSE63617.2	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_21___BioAssayImplId=380345Name=1m_hp_AD11[NFND_251486812126_S01_GE2.v4_91_1_4]	GSM1553754	Batch_08_11_07_07	AD11	Hippocampus	NA	F	1_month	1m_hp_AD11_rep1	GSE63617.2	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_22___BioAssayImplId=380344Name=1m_hp_AD11[NFND_251486812127_S01_GE2.v4_91_1_1]	GSM1553755	Batch_08_11_07_07	AD11	Hippocampus	NA	F	1_month	1m_hp_AD11_rep2	GSE63617.2	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_23___BioAssayImplId=380343Name=1m_hp_AD11[NFND_251486812127_S01_GE2.v4_91_1_2]	GSM1553756	Batch_08_11_07_07	AD11	Hippocampus	NA	F	1_month	1m_hp_AD11_rep3	GSE63617.2	NA	NA	NA	NA	NA	NA	NA	NA
GSE63617_Biomat_28___BioAssayImplId=380337Name=1m_hp_VH[NFND_251486812129_S01_GE2.v4_91_1_1]	GSM1553762	Batch_09_19_07_07	WT	Hippocampus	NA	F	1_month	1m_hp_VH_rep4	GSE63617.2	NA	NA	NA	NA	NA	NA	NA	NA
