Bioassay	ExternalID	Genotype	Timepoint	Batch	OrganismPart	Gender	Sample	Dataset	ExpMatrixName	Treatment	Original_batch	Original_age
GSE50379_Biomat_9___BioAssayImplId=240027Name=striatumofHdhQ111/Q111/mGluR5+/+rep1	GSM1217741	HdhQ111	3_months	NA	Striatum	M	HdhQ111_rep1	GSE50379	NA	NA	NA	NA
GSE62210_Biomat_00___BioAssayImplId=9999Name=p62_KO_rep1	GSM1522557	p62_KO	8_weeks	Batch_1	Striatum	M	p62_KO_rep1	GSE62210	NA	NA	NA	NA
GSE62210_Biomat_00___BioAssayImplId=9999Name=p62_KO_rep2	GSM1522558	p62_KO	8_weeks	Batch_1	Striatum	M	p62_KO_rep2	GSE62210	NA	NA	NA	NA
GSE62210_Biomat_00___BioAssayImplId=9999Name=p62_KO_rep3	GSM1522559	p62_KO	8_weeks	Batch_1	Striatum	M	p62_KO_rep3	GSE62210	NA	NA	NA	NA
GSE62210_Biomat_00___BioAssayImplId=9999Name=R62_p62_KO_rep1	GSM1522551	R62_p62_KO	8_weeks	Batch_1	Striatum	M	R62_p62_KO_rep1	GSE62210	NA	NA	NA	NA
GSE62210_Biomat_00___BioAssayImplId=9999Name=R62_p62_KO_rep2	GSM1522552	R62_p62_KO	8_weeks	Batch_1	Striatum	M	R62_p62_KO_rep2	GSE62210	NA	NA	NA	NA
GSE62210_Biomat_00___BioAssayImplId=9999Name=R62_p62_KO_rep3	GSM1522553	R62_p62_KO	8_weeks	Batch_1	Striatum	M	R62_p62_KO_rep3	GSE62210	NA	NA	NA	NA
GSE62210_Biomat_00___BioAssayImplId=9999Name=R62_rep1	GSM1522554	R62	8_weeks	Batch_1	Striatum	M	R62_rep1	GSE62210	NA	NA	NA	NA
GSE62210_Biomat_00___BioAssayImplId=9999Name=R62_rep2	GSM1522555	R62	8_weeks	Batch_1	Striatum	M	R62_rep2	GSE62210	NA	NA	NA	NA
GSE62210_Biomat_00___BioAssayImplId=9999Name=R62_rep3	GSM1522556	R62	8_weeks	Batch_1	Striatum	M	R62_rep3	GSE62210	NA	NA	NA	NA
GSE62210_Biomat_00___BioAssayImplId=9999Name=WT_rep1	GSM1522560	WT	8_weeks	Batch_1	Striatum	M	WT_rep1	GSE62210	NA	NA	NA	NA
GSE62210_Biomat_00___BioAssayImplId=9999Name=WT_rep2	GSM1522561	WT	8_weeks	Batch_1	Striatum	M	WT_rep2	GSE62210	NA	NA	NA	NA
GSE62210_Biomat_00___BioAssayImplId=9999Name=WT_rep3	GSM1522562	WT	8_weeks	Batch_1	Striatum	M	WT_rep3	GSE62210	NA	NA	NA	NA
GSE64386_Biomat_10___BioAssayImplId=381231Name=Str_TG_7m_GN2_2	GSM1570067	BAC_HD	7_months	NA	Striatum	F	Str_TG_7m_GN2_2	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_11___BioAssayImplId=381205Name=Str_WT_2m_GN50_4	GSM1570093	WT	2_months	NA	Striatum	F	Str_WT_2m_GN50_4	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_12___BioAssayImplId=381230Name=Str_WT_11m_WT1	GSM1570068	WT	11_months	NA	Striatum	F	Str_WT_11m_WT1	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_13___BioAssayImplId=381204Name=Ctx_TG_11m_NTN2_1	GSM1570094	BAC_HD	11_months	NA	Cortex	M	Ctx_TG_11m_NTN2_1	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_14___BioAssayImplId=381229Name=Str_TG_2m_GN50_3	GSM1570069	BAC_HD	2_months	NA	Striatum	F	Str_TG_2m_GN50_3	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_15___BioAssayImplId=381203Name=Str_WT_2m_GN51_5	GSM1570095	WT	2_months	NA	Striatum	M	Str_WT_2m_GN51_5	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_16___BioAssayImplId=381202Name=Ctx_WT_7m_GN1_1	GSM1570096	WT	7_months	NA	Cortex	M	Ctx_WT_7m_GN1_1	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_17___BioAssayImplId=381200Name=Ctx_WT_2m_GN50_4	GSM1570098	WT	2_months	NA	Cortex	F	Ctx_WT_2m_GN50_4	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_18___BioAssayImplId=381201Name=Str_WT_7m_GN2_3	GSM1570097	WT	7_months	NA	Striatum	F	Str_WT_7m_GN2_3	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_19___BioAssayImplId=381199Name=Ctx_WT_7m_HD12_1	GSM1570099	WT	7_months	NA	Cortex	F	Ctx_WT_7m_HD12_1	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_1___BioAssayImplId=381198Name=Str_WT_11m_GN34_5	GSM1570100	WT	11_months	NA	Striatum	M	Str_WT_11m_GN34_5	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_20___BioAssayImplId=381237Name=Str_TG_11m_GN36_1	GSM1570061	BAC_HD	11_months	NA	Striatum	F	Str_TG_11m_GN36_1	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_21___BioAssayImplId=381238Name=Ctx_TG_11m_GN36_1	GSM1570060	BAC_HD	11_months	NA	Cortex	F	Ctx_TG_11m_GN36_1	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_22___BioAssayImplId=381235Name=Str_WT_11m_GN34_1	GSM1570063	WT	11_months	NA	Striatum	M	Str_WT_11m_GN34_1	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_23___BioAssayImplId=381236Name=Ctx_WT_11m_GN34_1	GSM1570062	WT	11_months	NA	Cortex	M	Ctx_WT_11m_GN34_1	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_24___BioAssayImplId=381218Name=Ctx_WT_2m_GN80_2	GSM1570080	WT	2_months	NA	Cortex	M	Ctx_WT_2m_GN80_2	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_25___BioAssayImplId=381239Name=Ctx_TG_11m_NTN28_2	GSM1570059	BAC_HD	11_months	NA	Cortex	F	Ctx_TG_11m_NTN28_2	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_26___BioAssayImplId=381221Name=Str_WT_2m_GN80_2	GSM1570077	WT	2_months	NA	Striatum	M	Str_WT_2m_GN80_2	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_27___BioAssayImplId=381217Name=Ctx_TG_2m_GN50_3	GSM1570081	BAC_HD	2_months	NA	Cortex	F	Ctx_TG_2m_GN50_3	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_28___BioAssayImplId=381220Name=Ctx_WT_2m_GN50_2	GSM1570078	WT	2_months	NA	Cortex	F	Ctx_WT_2m_GN50_2	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_29___BioAssayImplId=381241Name=Ctx_WT_11m_WT1	GSM1570057	WT	11_months	NA	Cortex	F	Ctx_WT_11m_WT1	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_2___BioAssayImplId=381197Name=Ctx_TG_2m_GN51_3	GSM1570101	BAC_HD	2_months	NA	Cortex	M	Ctx_TG_2m_GN51_3	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_30___BioAssayImplId=381223Name=Ctx_TG_7m_GN1_4	GSM1570075	BAC_HD	7_months	NA	Cortex	M	Ctx_TG_7m_GN1_4	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_31___BioAssayImplId=381240Name=Str_TG_2m_GN50_1	GSM1570058	BAC_HD	2_months	NA	Striatum	F	Str_TG_2m_GN50_1	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_32___BioAssayImplId=381222Name=Ctx_TG_2m_GN50_1	GSM1570076	BAC_HD	2_months	NA	Cortex	F	Ctx_TG_2m_GN50_1	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_33___BioAssayImplId=381214Name=Str_TG_11m_GN37_3	GSM1570084	BAC_HD	11_months	NA	Striatum	M	Str_TG_11m_GN37_3	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_34___BioAssayImplId=381243Name=Str_WT_7m_GN1_3	GSM1570055	WT	7_months	NA	Striatum	M	Str_WT_7m_GN1_3	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_35___BioAssayImplId=381213Name=Str_TG_7m_GN2_1	GSM1570085	BAC_HD	7_months	NA	Striatum	F	Str_TG_7m_GN2_1	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_36___BioAssayImplId=381242Name=Str_WT_2m_GN50_2	GSM1570056	WT	2_months	NA	Striatum	F	Str_WT_2m_GN50_2	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_37___BioAssayImplId=381216Name=Ctx_TG_7m_GN1_2	GSM1570082	BAC_HD	7_months	NA	Cortex	M	Ctx_TG_7m_GN1_2	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_38___BioAssayImplId=381219Name=Str_WT_7m_HD12_1	GSM1570079	WT	7_months	NA	Striatum	F	Str_WT_7m_HD12_1	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_39___BioAssayImplId=381215Name=Str_TG_7m_GN1_4	GSM1570083	BAC_HD	7_months	NA	Striatum	M	Str_TG_7m_GN1_4	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_3___BioAssayImplId=381196Name=Ctx_WT_11m_GN34_5	GSM1570102	WT	11_months	NA	Cortex	M	Ctx_WT_11m_GN34_5	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_40___BioAssayImplId=381209Name=Str_TG_2m_GN51_1	GSM1570089	BAC_HD	2_months	NA	Striatum	M	Str_TG_2m_GN51_1	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_41___BioAssayImplId=381228Name=Ctx_TG_11m_GN37_3	GSM1570070	BAC_HD	11_months	NA	Cortex	M	Ctx_TG_11m_GN37_3	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_42___BioAssayImplId=381210Name=Ctx_TG_2m_GN51_1	GSM1570088	BAC_HD	2_months	NA	Cortex	M	Ctx_TG_2m_GN51_1	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_43___BioAssayImplId=381211Name=Ctx_TG_7m_GN2_2	GSM1570087	BAC_HD	7_months	NA	Cortex	F	Ctx_TG_7m_GN2_2	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_44___BioAssayImplId=381212Name=Ctx_WT_7m_GN1_3	GSM1570086	WT	7_months	NA	Cortex	M	Ctx_WT_7m_GN1_3	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_45___BioAssayImplId=381224Name=Str_TG_7m_GN1_2	GSM1570074	BAC_HD	7_months	NA	Striatum	M	Str_TG_7m_GN1_2	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_46___BioAssayImplId=381225Name=Str_TG_11m_NTN28_2	GSM1570073	BAC_HD	11_months	NA	Striatum	F	Str_TG_11m_NTN28_2	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_47___BioAssayImplId=381226Name=Str_TG_11m_NTN2_1	GSM1570072	BAC_HD	11_months	NA	Striatum	M	Str_TG_11m_NTN2_1	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_48___BioAssayImplId=381227Name=Ctx_WT_7m_GN2_3	GSM1570071	WT	7_months	NA	Cortex	F	Ctx_WT_7m_GN2_3	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_4___BioAssayImplId=381234Name=Str_WT_11m_GN47_1	GSM1570064	WT	11_months	NA	Striatum	F	Str_WT_11m_GN47_1	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_5___BioAssayImplId=381208Name=Str_WT_7m_GN1_1	GSM1570090	WT	7_months	NA	Striatum	M	Str_WT_7m_GN1_1	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_6___BioAssayImplId=381233Name=Str_TG_2m_GN51_3	GSM1570065	BAC_HD	2_months	NA	Striatum	M	Str_TG_2m_GN51_3	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_7___BioAssayImplId=381207Name=Ctx_WT_2m_GN51_5	GSM1570091	WT	2_months	NA	Cortex	M	Ctx_WT_2m_GN51_5	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_8___BioAssayImplId=381232Name=Ctx_TG_7m_GN2_1	GSM1570066	BAC_HD	7_months	NA	Cortex	F	Ctx_TG_7m_GN2_1	GSE64386	NA	NA	NA	NA
GSE64386_Biomat_9___BioAssayImplId=381206Name=Ctx_WT_11m_GN47_1	GSM1570092	WT	11_months	NA	Cortex	F	Ctx_WT_11m_GN47_1	GSE64386	NA	NA	NA	NA
GSE7958_bioMaterial_10___BioAssayImplId=24046Name=striatum_Q92_18m_25	GSM197118	HdhQ92_Q92	18_months	Batch_1	Striatum	F	Q92_18m_25	GSE7958	NA	NA	NA	NA
GSE7958_bioMaterial_11___BioAssayImplId=24042Name=striatum_Q92_3m_439	GSM197122	HdhQ92_Q92	3_months	Batch_1	Striatum	F	Q92_3m_439	GSE7958	NA	NA	NA	NA
GSE7958_bioMaterial_12___BioAssayImplId=24049Name=striatum_Q92_18m_11	GSM197115	HdhQ92_Q92	18_months	Batch_1	Striatum	M	Q92_18m_11	GSE7958	NA	NA	NA	NA
GSE7958_bioMaterial_1___BioAssayImplId=24047Name=striatum_wt_18m_17	GSM197117	WT	18_months	Batch_1	Striatum	F	WT_18m_17	GSE7958	NA	NA	NA	NA
GSE7958_bioMaterial_2___BioAssayImplId=24039Name=striatum_wt_3m_467	GSM197125	WT	3_months	Batch_1	Striatum	M	WT_3m_467	GSE7958	NA	NA	NA	NA
GSE7958_bioMaterial_3___BioAssayImplId=24050Name=striatum_wt_18m_9	GSM197114	WT	18_months	Batch_1	Striatum	F	WT_18m_9	GSE7958	NA	NA	NA	NA
GSE7958_bioMaterial_4___BioAssayImplId=24043Name=striatum_wt_3m_438	GSM197121	WT	3_months	Batch_1	Striatum	F	WT_3m_438	GSE7958	NA	NA	NA	NA
GSE7958_bioMaterial_5___BioAssayImplId=24045Name=striatum_Q92_18m_66	GSM197119	HdhQ92_Q92	18_months	Batch_1	Striatum	F	Q92_18m_66	GSE7958	NA	NA	NA	NA
GSE7958_bioMaterial_6___BioAssayImplId=24041Name=striatum_Q92_3m_440	GSM197123	HdhQ92_Q92	3_months	Batch_1	Striatum	F	Q92_3m_440	GSE7958	NA	NA	NA	NA
GSE7958_bioMaterial_7___BioAssayImplId=24048Name=striatum_wt_18m_12	GSM197116	WT	18_months	Batch_1	Striatum	M	WT_18m_12	GSE7958	NA	NA	NA	NA
GSE7958_bioMaterial_8___BioAssayImplId=24040Name=striatum_Q92_3m_466	GSM197124	HdhQ92_Q92	3_months	Batch_1	Striatum	M	Q92_3m_466	GSE7958	NA	NA	NA	NA
GSE7958_bioMaterial_9___BioAssayImplId=24044Name=striatum_wt_3m_436	GSM197120	WT	3_months	Batch_1	Striatum	M	WT_3m_436	GSE7958	NA	NA	NA	NA
GSE9038_Biomat_10___BioAssayImplId=192763Name=Hdh+/Hdh+striatumat3~10weeksbiologicalrep3	GSM229431	WT	3-10_weeks	Batch_01_30_06_04	Striatum	F	WT_striatum_rep3	GSE9038	NA	NA	NA	NA
GSE9038_Biomat_11___BioAssayImplId=192754Name=HdhQ111/HdhQ111striatumat3~10weeksbiologicalrep6	GSM229440	HdhQ111	3-10_weeks	Batch_04_08_10_04	Striatum	M	HdhQ111_striatum_rep6	GSE9038	NA	NA	NA	NA
GSE9038_Biomat_12___BioAssayImplId=192745Name=Hdh+/Hdh+cerebellumat3~10weeksbiologicalrep6	GSM229458	WT	3-10_weeks	Batch_03_05_10_04	Cerebellum	F	WT_cerebellum_rep6	GSE9038	NA	NA	NA	NA
GSE9038_Biomat_13___BioAssayImplId=192762Name=HdhQ111/HdhQ111striatumat3~10weeksbiologicalrep1	GSM229432	HdhQ111	3-10_weeks	Batch_01_30_06_04	Striatum	F	HdhQ111_striatum_rep1	GSE9038	NA	NA	NA	NA
GSE9038_Biomat_14___BioAssayImplId=192748Name=HdhQ111/HdhQ111cerebellumat3~10weeksbiologicalrep3	GSM229455	HdhQ111	3-10_weeks	Batch_02_11_08_04	Cerebellum	M	HdhQ111_cerebellum_rep3	GSE9038	NA	NA	NA	NA
GSE9038_Biomat_15___BioAssayImplId=192747Name=Hdh+/Hdh+cerebellumat3~10weeksbiologicalrep4	GSM229456	WT	3-10_weeks	Batch_03_05_10_04	Cerebellum	M	WT_cerebellum_rep4	GSE9038	NA	NA	NA	NA
GSE9038_Biomat_16___BioAssayImplId=192764Name=Hdh+/Hdh+striatumat3~10weeksbiologicalrep2	GSM229430	WT	3-10_weeks	Batch_01_30_06_04	Striatum	M	WT_striatum_rep2	GSE9038	NA	NA	NA	NA
GSE9038_Biomat_17___BioAssayImplId=192750Name=HdhQ111/HdhQ111cerebellumat3~10weeksbiologicalrep1	GSM229453	HdhQ111	3-10_weeks	Batch_02_11_08_04	Cerebellum	M	HdhQ111_cerebellum_rep1	GSE9038	NA	NA	NA	NA
GSE9038_Biomat_18___BioAssayImplId=192759Name=Hdh+/Hdh+striatumat3~10weeksbiologicalrep4	GSM229435	WT	3-10_weeks	Batch_04_08_10_04	Striatum	M	WT_striatum_rep4	GSE9038	NA	NA	NA	NA
GSE9038_Biomat_19___BioAssayImplId=192749Name=HdhQ111/HdhQ111cerebellumat3~10weeksbiologicalrep2	GSM229454	HdhQ111	3-10_weeks	Batch_02_11_08_04	Cerebellum	M	HdhQ111_cerebellum_rep2	GSE9038	NA	NA	NA	NA
GSE9038_Biomat_1___BioAssayImplId=192765Name=Hdh+/Hdh+striatumat3~10weeksbiologicalrep1	GSM229429	WT	3-10_weeks	Batch_01_30_06_04	Striatum	F	WT_striatum_rep1	GSE9038	NA	NA	NA	NA
GSE9038_Biomat_20___BioAssayImplId=192758Name=Hdh+/Hdh+striatumat3~10weeksbiologicalrep5	GSM229436	WT	3-10_weeks	Batch_04_08_10_04	Striatum	M	WT_striatum_rep5	GSE9038	NA	NA	NA	NA
GSE9038_Biomat_21___BioAssayImplId=192752Name=Hdh+/Hdh+cerebellumat3~10weeksbiologicalrep2	GSM229451	WT	3-10_weeks	Batch_02_11_08_04	Cerebellum	M	WT_cerebellum_rep2	GSE9038	NA	NA	NA	NA
GSE9038_Biomat_22___BioAssayImplId=192761Name=HdhQ111/HdhQ111striatumat3~10weeksbiologicalrep2	GSM229433	HdhQ111	3-10_weeks	Batch_01_30_06_04	Striatum	M	HdhQ111_striatum_rep2	GSE9038	NA	NA	NA	NA
GSE9038_Biomat_23___BioAssayImplId=192751Name=Hdh+/Hdh+cerebellumat3~10weeksbiologicalrep3	GSM229452	WT	3-10_weeks	Batch_02_11_08_04	Cerebellum	M	WT_cerebellum_rep3	GSE9038	NA	NA	NA	NA
GSE9038_Biomat_24___BioAssayImplId=192760Name=HdhQ111/HdhQ111striatumat3~10weeksbiologicalrep3	GSM229434	HdhQ111	3-10_weeks	Batch_01_30_06_04	Striatum	M	HdhQ111_striatum_rep3	GSE9038	NA	NA	NA	NA
GSE9038_Biomat_2___BioAssayImplId=192756Name=HdhQ111/HdhQ111striatumat3~10weeksbiologicalrep4	GSM229438	HdhQ111	3-10_weeks	Batch_04_08_10_04	Striatum	F	HdhQ111_striatum_rep4	GSE9038	NA	NA	NA	NA
GSE9038_Biomat_3___BioAssayImplId=192757Name=Hdh+/Hdh+striatumat3~10weeksbiologicalrep6	GSM229437	WT	3-10_weeks	Batch_04_08_10_04	Striatum	F	WT_striatum_rep6	GSE9038	NA	NA	NA	NA
GSE9038_Biomat_4___BioAssayImplId=192755Name=HdhQ111/HdhQ111striatumat3~10weeksbiologicalrep5	GSM229439	HdhQ111	3-10_weeks	Batch_04_08_10_04	Striatum	M	HdhQ111_striatum_rep5	GSE9038	NA	NA	NA	NA
GSE9038_Biomat_5___BioAssayImplId=192744Name=HdhQ111/HdhQ111cerebellumat3~10weeksbiologicalrep4	GSM229459	HdhQ111	3-10_weeks	Batch_04_08_10_04	Cerebellum	F	HdhQ111_cerebellum_rep4	GSE9038	NA	NA	NA	NA
GSE9038_Biomat_6___BioAssayImplId=192753Name=Hdh+/Hdh+cerebellumat3~10weeksbiologicalrep1	GSM229450	WT	3-10_weeks	Batch_02_11_08_04	Cerebellum	M	WT_cerebellum_rep1	GSE9038	NA	NA	NA	NA
GSE9038_Biomat_7___BioAssayImplId=192743Name=HdhQ111/HdhQ111cerebellumat3~10weeksbiologicalrep5	GSM229460	HdhQ111	3-10_weeks	Batch_03_05_10_04	Cerebellum	F	HdhQ111_cerebellum_rep5	GSE9038	NA	NA	NA	NA
GSE9038_Biomat_8___BioAssayImplId=192742Name=HdhQ111/HdhQ111cerebellumat3~10weeksbiologicalrep6	GSM229461	HdhQ111	3-10_weeks	Batch_03_05_10_04	Cerebellum	M	HdhQ111_cerebellum_rep6	GSE9038	NA	NA	NA	NA
GSE9038_Biomat_9___BioAssayImplId=192746Name=Hdh+/Hdh+cerebellumat3~10weeksbiologicalrep5	GSM229457	WT	3-10_weeks	Batch_03_05_10_04	Cerebellum	M	WT_cerebellum_rep5	GSE9038	NA	NA	NA	NA
GSE9375_bioMaterial_1___BioAssayImplId=29549Name=striatum_wildtype_6S	GSM238690	WT	12_months	Batch_1	Striatum	F	WT_6S	GSE9375	NA	NA	NA	NA
GSE9375_bioMaterial_2___BioAssayImplId=29550Name=striatum_wildtype_5S	GSM238689	WT	12_months	Batch_1	Striatum	F	WT_5S	GSE9375	NA	NA	NA	NA
GSE9375_bioMaterial_3___BioAssayImplId=29546Name=striatum_Hdh4Q80_9S	GSM238693	Hdh4_Q80	12_months	Batch_1	Striatum	F	Hdh4Q80_9S	GSE9375	NA	NA	NA	NA
GSE9375_bioMaterial_4___BioAssayImplId=29551Name=striatum_wildtype_4S	GSM238688	WT	12_months	Batch_1	Striatum	F	WT_4S	GSE9375	NA	NA	NA	NA
GSE9375_bioMaterial_5___BioAssayImplId=29548Name=striatum_Hdh4Q80_7S	GSM238691	Hdh4_Q80	12_months	Batch_1	Striatum	F	Hdh4Q80_7S	GSE9375	NA	NA	NA	NA
GSE9375_bioMaterial_6___BioAssayImplId=29547Name=striatum_Hdh4Q80_8S	GSM238692	Hdh4_Q80	12_months	Batch_1	Striatum	F	Hdh4Q80_8S	GSE9375	NA	NA	NA	NA
GSE9803_Biomat_10___BioAssayImplId=32178Name=striatum_R62_65	GSM247442	R62	12_weeks	Batch_01	Striatum	F	R62_65	GSE9857	NA	NA	Batch_02_7/11/06	85_days
GSE9803_Biomat_11___BioAssayImplId=32177Name=striatum_R62_78	GSM247443	R62	12_weeks	Batch_01	Striatum	F	R62_78	GSE9857	NA	NA	Batch_01_7/7/06	85_days
GSE9803_Biomat_12___BioAssayImplId=32176Name=striatum_R62_70	GSM247444	R62	12_weeks	Batch_01	Striatum	F	R62_70	GSE9857	NA	NA	Batch_01_7/7/06	85_days
GSE9803_Biomat_1___BioAssayImplId=32182Name=striatum_wildtype_42	GSM247438	WT	12_weeks	Batch_01	Striatum	F	WT_42	GSE9857	NA	NA	Batch_01_7/7/06	85_days
GSE9803_Biomat_2___BioAssayImplId=32181Name=striatum_wildtype_54	GSM247439	WT	12_weeks	Batch_01	Striatum	F	WT_54	GSE9857	NA	NA	Batch_01_7/7/06	85_days
GSE9803_Biomat_3___BioAssayImplId=32180Name=striatum_wildtype_63	GSM247440	WT	12_weeks	Batch_01	Striatum	F	WT_63	GSE9857	NA	NA	Batch_01_7/7/06	85_days
GSE9803_Biomat_7___BioAssayImplId=32184Name=striatum_wildtype_48	GSM247436	WT	12_weeks	Batch_01	Striatum	F	WT_48	GSE9857	NA	NA	Batch_02_7/11/06	85_days
GSE9803_Biomat_8___BioAssayImplId=32183Name=striatum_wildtype_45	GSM247437	WT	12_weeks	Batch_01	Striatum	F	WT_45	GSE9857	NA	NA	Batch_01_7/7/06	85_days
GSE9803_Biomat_9___BioAssayImplId=32179Name=striatum_R62_64	GSM247441	R62	12_weeks	Batch_01	Striatum	F	R62_64	GSE9857	NA	NA	Batch_01_7/7/06	85_days
GSE9804_Biomat_13___BioAssayImplId=32175Name=striatum_wildtype_46	GSM247445	WT	12_weeks	Batch_02	Striatum	F	WT_46	GSE9857	NA	NA	Batch_03_11/29/06	85_days
GSE9804_Biomat_14___BioAssayImplId=32174Name=striatum_wildtype_47	GSM247446	WT	12_weeks	Batch_02	Striatum	F	WT_47	GSE9857	NA	NA	Batch_03_11/29/06	85_days
GSE9804_Biomat_15___BioAssayImplId=32173Name=striatum_wildtype_49	GSM247447	WT	12_weeks	Batch_02	Striatum	F	WT_49	GSE9857	NA	NA	Batch_03_11/29/06	85_days
GSE9804_Biomat_16___BioAssayImplId=32172Name=striatum_wildtype_66	GSM247448	WT	12_weeks	Batch_02	Striatum	F	WT_66	GSE9857	NA	NA	Batch_03_11/29/06	85_days
GSE9804_Biomat_17___BioAssayImplId=32171Name=striatum_R62_86	GSM247449	R62	12_weeks	Batch_02	Striatum	F	R62_86	GSE9857	NA	NA	Batch_03_11/29/06	85_days
GSE9804_Biomat_18___BioAssayImplId=32170Name=striatum_R62_95	GSM247450	R62	12_weeks	Batch_02	Striatum	F	R62_95	GSE9857	NA	NA	Batch_03_11/29/06	83_days
GSE9804_Biomat_19___BioAssayImplId=32169Name=striatum_R62_105	GSM247451	R62	12_weeks	Batch_02	Striatum	F	R62_105	GSE9857	NA	NA	Batch_03_11/29/06	83_days
GSE9804_Biomat_20___BioAssayImplId=32168Name=striatum_R62_107	GSM247452	R62	12_weeks	Batch_02	Striatum	F	R62_107	GSE9857	NA	NA	Batch_03_11/29/06	83_days
GSE9804_Biomat_21___BioAssayImplId=32167Name=striatum_R62_109	GSM247453	R62	12_weeks	Batch_02	Striatum	F	R62_109	GSE9857	NA	NA	Batch_03_11/29/06	83_days
