geneID	geneSymbol	geneNames	GOTerms	GemmaIDs	NCBIids	platform
Ergic2	Ergic2	ERGIC and golgi 2	GO:0006810|GO:0016192	|660534	|67456	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Vdac1	Vdac1	voltage-dependent anion channel 1	GO:0001662|GO:0006810|GO:0006811|GO:0006820|GO:0006851|GO:0006915|GO:0007268|GO:0007270|GO:0007612|GO:0044070|GO:0055085|GO:0098656|GO:1903959	589522|	22333|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Nifk	Nifk	nucleolar protein interacting with the FHA domain of MKI67	GO:0010923	667473	67949	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Fer	Fer	fer (fms/fps related) protein kinase	GO:0000226|GO:0000278|GO:0001932|GO:0006468|GO:0006935|GO:0007155|GO:0007165|GO:0008283|GO:0010591|GO:0010762|GO:0016310|GO:0018108|GO:0019221|GO:0030154|GO:0030335|GO:0030838|GO:0031532|GO:0032496|GO:0032869|GO:0033007|GO:0034446|GO:0034614|GO:0035426|GO:0036006|GO:0036119|GO:0038028|GO:0038083|GO:0038095|GO:0038109|GO:0042058|GO:0042127|GO:0042503|GO:0043304|GO:0044331|GO:0045087|GO:0046777|GO:0048008|GO:0050904|GO:0051092|GO:0070102	508363	14158	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Rfwd2	Rfwd2	ring finger and WD repeat domain 2	GO:0010212|GO:0016567|GO:0032436	|597899	|26374	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Shc1	Shc1	src homology 2 domain-containing transforming protein C1	GO:0000165|GO:0000187|GO:0001525|GO:0007165|GO:0007173|GO:0007507|GO:0007568|GO:0008286|GO:0016337|GO:0030036|GO:0030182|GO:0031175|GO:0031532|GO:0035556|GO:0040008|GO:0042127|GO:0045740|GO:0045907|GO:0048661	|571169	|20416	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Snd1	Snd1	staphylococcal nuclease and tudor domain containing 1	GO:0001649|GO:0006351|GO:0006355|GO:0031047	627563|	56463|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Kcne1l	Kcne1l	potassium voltage-gated channel, Isk-related family, member 1-like, pseudogene	GO:0006811|GO:0008016|GO:0060048|GO:0060306|GO:0060307|GO:0060372|GO:0071435|GO:0071805|GO:0086005|GO:0086013|GO:0086014|GO:0086091|GO:1901379|GO:1901380|GO:1901381|GO:2001257	643344	66240	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Tmem230	Tmem230	transmembrane protein 230		688949	70612	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
NA	NA	NA	NA	NA	NA	NA
Ube2k	Ube2k	ubiquitin-conjugating enzyme E2K	GO:0000209|GO:0016567|GO:0032434|GO:0043161|GO:0070059|GO:0070936	|615717	|53323	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Adat2	Adat2	adenosine deaminase, tRNA-specific 2	GO:0002100|GO:0008033	650307	66757	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Zmat1	Zmat1	zinc finger, matrin type 1		|795946	|215693	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Ngdn	Ngdn	neuroguidin, EIF4E binding protein	GO:0000462|GO:0006417	676993|	68966|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Map4k5	Map4k5	mitogen-activated protein kinase kinase kinase kinase 5	GO:0000165|GO:0000185|GO:0006468|GO:0007346|GO:0016310|GO:0031098|GO:0032147|GO:0035556|GO:0042981	881211|	399510|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Stk40	Stk40	serine/threonine kinase 40	GO:0003016|GO:0005977|GO:0006468|GO:0010468|GO:0016310|GO:0030324|GO:0035264|GO:0043066|GO:0043408|GO:0048286|GO:0060425	714187	74178	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Tmem184c	Tmem184c	transmembrane protein 184C		|825355	|234463	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Slc27a3	Slc27a3	solute carrier family 27 (fatty acid transporter), member 3	GO:0001676|GO:0006629|GO:0006631|GO:0006637|GO:0008152|GO:0015908	|599761	|26568	GPL11180|GPL1261|GPL339|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Utp14a	Utp14a	UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast)	GO:0006364|GO:0042254	703988|	72554|	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL7042|GPL7202|GPL81
Prdm8	Prdm8	PR domain containing 8	GO:0006351|GO:0006355|GO:0016571|GO:0021540|GO:0021952|GO:0021957|GO:0022008|GO:0032259|GO:0045892|GO:0051567	735433|	77630|	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Emc9	Emc9	ER membrane protein complex subunit 9		746610	85308	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Vps29	Vps29	vacuolar protein sorting 29 (S. pombe)	GO:0006810|GO:0006886|GO:0006896|GO:0015031|GO:0042147|GO:1990126	626788|	56433|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Kctd15	Kctd15	potassium channel tetramerisation domain containing 15	GO:0007275|GO:0051260	|822663	|233107	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Jph1	Jph1	junctophilin 1	GO:0007517	631658|	57339|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Eci1	Eci1	enoyl-Coenzyme A delta isomerase 1	GO:0006629|GO:0006631|GO:0006635|GO:0008152	499180	13177	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Odf2	Odf2	outer dense fiber of sperm tails 2	GO:0007275|GO:0007283|GO:0030154|GO:1902017	549116|	18286|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Slc25a4	Slc25a4	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4	GO:0006810|GO:0008637|GO:0010667|GO:0055085|GO:0060546|GO:0061051|GO:1902109|GO:2000277	|478700	|11739	GPL11180|GPL1261|GPL339|GPL6096|GPL6246|GPL7042|GPL7202|GPL81|GPL8321
Wdr86	Wdr86	WD repeat domain 86		851496	269633	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Chchd1	Chchd1	coiled-coil-helix-coiled-coil-helix domain containing 1		641714	66121	GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Llgl1	Llgl1	lethal giant larvae homolog 1 (Drosophila)	GO:0006461|GO:0006887|GO:0006893|GO:0007409|GO:0007420|GO:0030866|GO:0035090|GO:0043547	534699	16897	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Ate1	Ate1	arginyltransferase 1	GO:0016598	481410|	11907|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Tomm7	Tomm7	translocase of outer mitochondrial membrane 7 homolog (yeast)	GO:0006810|GO:0015031|GO:0030150|GO:1903955	|642403	|66169	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Tmem116	Tmem116	transmembrane protein 116		734438|	77462|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Map3k12	Map3k12	mitogen-activated protein kinase kinase kinase 12	GO:0000186|GO:0006468|GO:0007254|GO:0016310|GO:0016572|GO:0018105|GO:0018107|GO:0046777|GO:0098779	598439|	26404|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Dhx33	Dhx33	DEAH (Asp-Glu-Ala-His) box polypeptide 33	GO:0006396|GO:0045943	|798436	|216877	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Dhx35	Dhx35	DEAH (Asp-Glu-Ala-His) box polypeptide 35	GO:0006396	695607	71715	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Rab2a	Rab2a	RAB2A, member RAS oncogene family	GO:0006810|GO:0006886|GO:0007030|GO:0007264|GO:0008152|GO:0015031|GO:0016192|GO:0032482	635604|	59021|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Stra6	Stra6	stimulated by retinoic acid gene 6	GO:0001568|GO:0001822|GO:0003184|GO:0003281|GO:0006810|GO:0007507|GO:0007612|GO:0007631|GO:0030324|GO:0030325|GO:0030540|GO:0034633|GO:0042297|GO:0043583|GO:0043585|GO:0046427|GO:0048286|GO:0048520|GO:0048546|GO:0048566|GO:0048589|GO:0048745|GO:0048844|GO:0050890|GO:0050905|GO:0060322|GO:0060323|GO:0060325|GO:0060426|GO:0060539|GO:0060900|GO:0061029|GO:0061038|GO:0061143|GO:0061156|GO:0061205|GO:0097070	577970	20897	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Ubap1	Ubap1	ubiquitin-associated protein 1	GO:0006810|GO:0015031|GO:0043162	|655994	|67123	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Fam109a	Fam109a	family with sequence similarity 109, member A	GO:0001881|GO:0007032|GO:0042147	|819838	|231717	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81
Eif4e3	Eif4e3	eukaryotic translation initiation factor 4E member 3	GO:0006412|GO:0006413|GO:0006417	|652322	|66892	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Lrp1	Lrp1	low density lipoprotein receptor-related protein 1	GO:0006897|GO:0006898|GO:0007205|GO:0007275|GO:0008203|GO:0008283|GO:0010875|GO:0010977|GO:0014912|GO:0030178|GO:0032370|GO:0032374|GO:0032429|GO:0032956|GO:0035909|GO:0043277|GO:0043524|GO:0051222|GO:0097242|GO:2000587	535466|	16971|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Brap	Brap	BRCA1 associated protein	GO:0000165|GO:0007265|GO:0009968|GO:0016567	|702852	|72399	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Eif3a	Eif3a	eukaryotic translation initiation factor 3, subunit A	GO:0001732|GO:0006412|GO:0006413	|503970	|13669	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Atp5o	Atp5o	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	GO:0006754|GO:0006810|GO:0006811|GO:0015986|GO:0015992|GO:0042776|GO:0046034	605670	28080	GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Cend1	Cend1	cell cycle exit and neuronal differentiation 1	GO:0007628|GO:0021686|GO:0021702|GO:0021933|GO:0021941	632599|	57754|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Stoml1	Stoml1	stomatin-like 1	GO:0060395|GO:1901586	678163	69106	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Pfn2	Pfn2	profilin 2	GO:0010633|GO:0030036|GO:0030833|GO:0030837|GO:0030838|GO:0032233|GO:0032781|GO:0033138|GO:0051496|GO:1900028|GO:1903994|GO:2000300	553207|	18645|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Il13ra1	Il13ra1	interleukin 13 receptor, alpha 1	GO:0035772	|526887	|16164	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Ube2a	Ube2a	ubiquitin-conjugating enzyme E2A	GO:0000209|GO:0001701|GO:0006281|GO:0006974|GO:0008284|GO:0009411|GO:0016567|GO:0016574|GO:0033522|GO:0043161|GO:0051865|GO:0060135|GO:0070936|GO:0070979	|587731	|22209	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
BC004004	BC004004	cDNA sequence BC004004	GO:0042060|GO:0045787|GO:0050673	742809|	80748|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Grsf1	Grsf1	G-rich RNA sequence binding factor 1	GO:0006397|GO:0008033|GO:0009952|GO:0016331	|819061	|231413	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Aldob	Aldob	aldolase B, fructose-bisphosphate	GO:0006000|GO:0006096|GO:0006116|GO:0010043|GO:0030388|GO:0032781|GO:0043434|GO:0070072	|816297	|230163	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Slc13a4	Slc13a4	solute carrier family 13 (sodium/sulfate symporters), member 4		|836625	|243755	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Hsp90b1	Hsp90b1	heat shock protein 90, beta (Grp94), member 1	GO:0001666|GO:0006457|GO:0006950|GO:0030433|GO:0031247|GO:0043066|GO:0043666|GO:0071318	585143|	22027|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Uqcc2	Uqcc2	ubiquinol-cytochrome c reductase complex assembly factor 2	GO:0002082|GO:0034551|GO:0050796|GO:0070131|GO:1903364|GO:2001014	658146	67267	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Paox	Paox	polyamine oxidase (exo-N4-amino)	GO:0006598|GO:0009446|GO:0009447|GO:0046203|GO:0046208|GO:0055114|GO:1901307	791347	212503	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Bcl7a	Bcl7a	B cell CLL/lymphoma 7A		733112|	77045|	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Foxk1	Foxk1	forkhead box K1	GO:0006351|GO:0006355|GO:0006357|GO:0006366|GO:0007275|GO:0007517|GO:0009653|GO:0030154|GO:0030308|GO:0045786|GO:0045892|GO:0045893	|540943	|17425	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Setd1a	Setd1a	SET domain containing 1A	GO:0019827|GO:0048096|GO:0051568|GO:2000179|GO:2000648	|824194	|233904	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Arhgap39	Arhgap39	Rho GTPase activating protein 39	GO:0007165	803765|	223666|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Zfp445	Zfp445	zinc finger protein 445	GO:0006351|GO:0006355	|828045	|235682	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
F13a1	F13a1	coagulation factor XIII, A1 subunit	GO:0007596|GO:0007599|GO:0018149	713658	74145	GPL11180|GPL1261|GPL339|GPL6096|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Ythdf3	Ythdf3	YTH domain family 3		|814124	|229096	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Ndufs3	Ndufs3	NADH dehydrogenase (ubiquinone) Fe-S protein 3	GO:0006810|GO:0030308|GO:0055114|GO:0072593|GO:2001243	|672213	|68349	GPL11180|GPL1261|GPL339|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Lman2	Lman2	lectin, mannose-binding 2	GO:0006810|GO:0006890|GO:0015031|GO:0050766	|652269	|66890	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Caly	Caly	calcyon neuron-specific vesicular protein	GO:0006897|GO:0007212|GO:0045807|GO:0048268	|673777	|68566	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Zfyve26	Zfyve26	zinc finger, FYVE domain containing 26	GO:0000724|GO:0000910|GO:0006281|GO:0006974|GO:0007049|GO:0051301	790661	211978	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Pgam1	Pgam1	phosphoglycerate mutase 1	GO:0006096|GO:0006110|GO:0008152|GO:0043456|GO:0045730	|553270	|18648	GPL11180|GPL1261|GPL339|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Dpp7	Dpp7	dipeptidylpeptidase 7	GO:0006508	|745678	|83768	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Sec13	Sec13	SEC13 homolog (S. cerevisiae)	GO:0006810|GO:0006888|GO:0015031|GO:0016192|GO:0051028	773884	110379	GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Polg2	Polg2	polymerase (DNA directed), gamma 2, accessory subunit	GO:0001701|GO:0006260|GO:0006264|GO:0006281|GO:0022904|GO:0032042|GO:0070584|GO:0071897	609753	50776	GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL7042|GPL7202|GPL81|GPL8321
2410004B18Rik	2410004B18Rik	RIKEN cDNA 2410004B18 gene		645905	66421	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
NA	NA	NA	NA	NA	NA	NA
Coprs	Coprs	coordinator of PRMT5, differentiation stimulator	GO:0006351|GO:0006355|GO:0007517|GO:0016568|GO:0043985	645933	66423	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Capn5	Capn5	calpain 5	GO:0006508	|486934	|12337	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Bptf	Bptf	bromodomain PHD finger transcription factor	GO:0000122|GO:0001892|GO:0006338|GO:0006351|GO:0006355|GO:0007420|GO:0007492|GO:0009952|GO:0045893	|784726	|207165	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL7042|GPL7202|GPL8321
Orc5	Orc5	origin recognition complex, subunit 5	GO:0006260	598980	26429	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Dlx2	Dlx2	distal-less homeobox 2	GO:0000122|GO:0006355|GO:0006357|GO:0006366|GO:0007275|GO:0009954|GO:0021544|GO:0021766|GO:0021772|GO:0021879|GO:0021882|GO:0021892|GO:0021893|GO:0030154|GO:0042475|GO:0045746|GO:0045944|GO:0048701|GO:0048706|GO:0048715|GO:0048755|GO:0051216	500611	13392	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Metap1	Metap1	methionyl aminopeptidase 1	GO:0006508|GO:0070527	724035	75624	GPL11180|GPL1261|GPL339|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Pop7	Pop7	processing of precursor 7, ribonuclease P family, (S. cerevisiae)	GO:0008033|GO:0090502	712911	74097	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Spsb3	Spsb3	splA/ryanodine receptor domain and SOCS box containing 3	GO:0035556	|741654	|79043	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Pigp	Pigp	phosphatidylinositol glycan anchor biosynthesis, class P	GO:0006506	|623210	|56176	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Zfp119a	Zfp119a	zinc finger protein 119a		761220	104349	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Cct7	Cct7	chaperonin containing Tcp1, subunit 7 (eta)	GO:0006457|GO:0007339|GO:1901998	489086	12468	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Vbp1	Vbp1	von Hippel-Lindau binding protein 1	GO:0006457	589428	22327	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Mtg1	Mtg1	mitochondrial GTPase 1 homolog (S. cerevisiae)	GO:0006417|GO:0008152|GO:0042254|GO:0044065|GO:0070129	|791374	|212508	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Tuba1c	Tuba1c	tubulin, alpha 1C	GO:0007017|GO:0051258	586744	22146	GPL7042|GPL7202
Bad	Bad	BCL2-associated agonist of cell death	GO:0001836|GO:0006007|GO:0006915|GO:0006919|GO:0008283|GO:0008625|GO:0008630|GO:0010918|GO:0019050|GO:0019221|GO:0032024|GO:0033133|GO:0035774|GO:0042593|GO:0042981|GO:0043065|GO:0043280|GO:0043281|GO:0044342|GO:0045579|GO:0045582|GO:0045862|GO:0045918|GO:0046031|GO:0046034|GO:0046902|GO:0046931|GO:0050679|GO:0060139|GO:0060154|GO:0071310|GO:0071316|GO:0090200|GO:0097190|GO:0097191|GO:0097192|GO:0097193|GO:0097202|GO:1901216|GO:2000078	483263	12015	GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Gap43	Gap43	growth associated protein 43	GO:0007275|GO:0007399|GO:0007411|GO:0010001|GO:0016198|GO:0030154|GO:0040008|GO:0045165|GO:0051489	|511842	|14432	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Timm8a1	Timm8a1	translocase of inner mitochondrial membrane 8A1	GO:0006626	|607536	|30058	GPL11180|GPL1261|GPL339|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Syt17	Syt17	synaptotagmin XVII	GO:0006887|GO:0016079|GO:0017158|GO:0048791|GO:1903861	|772991	|110058	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Dock3	Dock3	dedicator of cyto-kinesis 3	GO:0007264	786931|	208869|	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Rictor	Rictor	RPTOR independent companion of MTOR, complex 2	GO:0001938|GO:0007275|GO:0009790|GO:0010468|GO:0018105|GO:0030838|GO:0031532|GO:0031929|GO:0032008|GO:0032956|GO:0033135|GO:0042325|GO:0043087|GO:0050727|GO:0050731|GO:0051896|GO:0051897|GO:2000114	740100|	78757|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Vwa3a	Vwa3a	von Willebrand factor A domain containing 3A		|823824	|233813	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Barhl1	Barhl1	BarH-like 1 (Drosophila)	GO:0001764|GO:0006351|GO:0006355|GO:0006366|GO:0007605|GO:0030901|GO:0043524|GO:0045944	|620075	|54422	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Gstt2	Gstt2	glutathione S-transferase, theta 2	GO:0006749|GO:0055114	|517013	|14872	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Vps33a	Vps33a	vacuolar protein sorting 33A (yeast)	GO:0006810|GO:0006904|GO:0015031|GO:0016192|GO:0030220|GO:0032400|GO:0032418|GO:0043473|GO:0048070	734891|	77573|	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Sdcbp	Sdcbp	syndecan binding protein	GO:0007265|GO:0042327|GO:1903543|GO:1903553	|616095	|53378	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Lrp10	Lrp10	low-density lipoprotein receptor-related protein 10	GO:0006629|GO:0006869|GO:0006898|GO:0048839	|639685	|65107	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
