Dataset	TOTAL_SCORE	File	ExternalID	Sample	QA_NUSE	QA_IQR_NUSE	QA_RLE	QA_IQR_RLE	QA_sample_corr	QA_score	actin3/actin5	actin3/actinM	gapdh3/gapdh5	gapdh3/gapdhM	scale	background	present	RNA_degradation_slope	RNA_degradation_p_value	RNA_deg_outlier	RATIO	SCALE	BACKGROUND	PRESENT
GSE36237	0	GSM884884_M_HIPP_TREAT_9I_TG_-_ID_29.CEL	GSM884884	HippPDE9Tg.,rep3	1.005	0.034	-0.038	0.271	0.984	0	0.4482700967	0.3798846886	-0.4766910539	-0.2459073448	0.4869341814	53.3895175856	61.4842242966	2.61	5.29e-09	No	0	0	0	0
GSE36237	0	GSM884885_M_HIPP_TREAT_9I_TG_-_ID_61.CEL	GSM884885	HippPDE9Tg.,rep4	1.004	0.033	-0.022	0.236	0.986	0	0.3821161509	0.2914121794	-0.4028068309	-0.2224373544	0.4852564703	49.4044462433	60.9720405313	2.45	2.66e-08	No	0	0	0	0
GSE36237	0	GSM884886_M_HIPP_TREAT_9I_TG_-_ID_62.CEL	GSM884886	HippPDE9Tg.,rep5	0.998	0.028	0.009	0.252	0.985	0	0.4497892555	0.3588430781	-0.475027934	-0.2934477616	0.4578247709	47.7686653316	58.0474934037	2.2	1.09e-06	No	0	0	0	0
GSE36237	0	GSM884887_M_HIPP_TREAT_9I_TG_-_ID_77.CEL	GSM884887	HippPDE9Tg.,rep6	0.997	0.028	-0.012	0.263	0.987	0	0.4321129914	0.3456673013	-0.3785918041	-0.2558423436	0.3702741073	54.0568528457	62.3112569566	2.41	3.85e-07	No	0	0	0	0
GSE36237	0	GSM884888_M_HIPP_TREAT_9I_TG_-_ID_79.CEL	GSM884888	HippPDE9Tg.,rep7	0.989	0.022	-0.008	0.226	0.988	0	0.3660451223	0.300337826	-0.3952322469	-0.2597536513	0.3423735727	54.3272998775	62.0341012394	2.38	1.4e-07	No	0	0	0	0
GSE36237	0	GSM884889_M_HIPP_TREAT_9I_TG_-_ID_80.CEL	GSM884889	HippPDE9Tg.,rep8	0.996	0.029	-0.02	0.237	0.987	0	0.2984438698	0.2824287204	-0.3845677412	-0.2193931432	0.2916582202	60.187653037	60.5485465954	2.18	6e-08	No	0	0	0	0
GSE36237	0	GSM884890_M_HIPP_VEH_TG_+_ID_1.CEL	GSM884890	HippVehTg+,rep1	1.022	0.045	0.016	0.34	0.985	0	0.4218855017	0.2088521134	-0.3491813974	-0.2329994067	0.4558848289	44.1832200019	55.9034167757	2.13	1.9e-06	No	0	0	0	0
GSE36237	0	GSM884891_M_HIPP_VEH_TG_+_ID_2.CEL	GSM884891	HippVehTg+,rep2	1.033	0.054	0.014	0.343	0.984	0	0.375263761	0.2648801175	-0.4332849106	-0.2419145628	0.458404903	44.998106203	58.1960488681	1.88	8.69e-06	No	0	0	0	0
GSE36237	0	GSM884892_M_HIPP_VEH_TG_+_ID_3.CEL	GSM884892	HippVehTg+,rep3	1.017	0.046	0.019	0.302	0.986	0	0.4216157672	0.310807891	-0.4089546509	-0.2727492941	0.5120583806	44.3389280137	59.7592071129	2.02	6.75e-06	No	0	0	0	0
GSE36237	0	GSM884893_M_HIPP_VEH_TG_+_ID_4.CEL	GSM884893	HippVehTg+,rep4	1.031	0.051	0.008	0.328	0.985	0	0.3395425555	0.2461307722	-0.4228380154	-0.2768116294	0.4835826386	44.0215979902	56.0896654176	1.87	6.69e-06	No	0	0	0	0
GSE36237	0	GSM884894_M_HIPP_VEH_TG_+_ID_65.CEL	GSM884894	HippVehTg+,rep5	0.989	0.022	-0.002	0.197	0.988	0	0.431092752	0.3638556105	-0.4674711758	-0.2564927075	0.3572498488	51.6344971137	59.7192966897	2.34	2.51e-07	No	0	0	0	0
GSE36237	0	GSM884895_M_HIPP_VEH_TG_+_ID_66.CEL	GSM884895	HippVehTg+,rep6	1.019	0.043	0.014	0.262	0.986	0	0.3936450295	0.3191827896	-0.4915541101	-0.2362509975	0.4578323418	51.5806740707	60.2935633356	2.18	8.79e-07	No	0	0	0	0
GSE36237	0	GSM884896_M_HIPP_VEH_TG_+_ID_67.CEL	GSM884896	HippVehTg+,rep7	1.003	0.031	0.004	0.232	0.987	0	0.4104656862	0.2894033516	-0.4362495647	-0.2583349291	0.3957873699	61.1273688432	60.7702711692	2.26	2.76e-07	No	0	0	0	0
GSE36237	0	GSM884897_M_HIPP_VEH_TG_+_ID_68.CEL	GSM884897	HippVehTg+,rep8	0.993	0.025	-0.002	0.23	0.987	0	0.4411528934	0.243832997	-0.4308747428	-0.2645238247	0.3484904354	61.9699125282	60.5441121039	2.27	6.96e-08	No	0	0	0	0
GSE36237	0	GSM884898_M_HIPP_VEH_TG_-_ID_5.CEL	GSM884898	HippVehTg.,rep1	1.033	0.055	0.018	0.329	0.984	0	0.4397992647	0.2751553918	-0.3831625171	-0.2504408336	0.5239796699	40.3998985633	57.251502184	1.85	1.06e-05	No	0	0	0	0
GSE36237	0	GSM884899_M_HIPP_VEH_TG_-_ID_6.CEL	GSM884899	HippVehTg.,rep2	0.996	0.027	0.013	0.261	0.985	0	0.3768630496	0.2557839829	-0.4691727168	-0.2440709431	0.4843607643	46.7880309998	57.7304272633	2.12	2.51e-07	No	0	0	0	0
GSE36237	0	GSM884900_M_HIPP_VEH_TG_-_ID_69.CEL	GSM884900	HippVehTg.,rep3	1.001	0.03	0.01	0.232	0.988	0	0.4864300624	0.3724896397	-0.4021189318	-0.2798320902	0.3949184818	56.6679839217	60.2514356666	2.35	6.13e-07	No	0	0	0	0
GSE36237	0	GSM884901_M_HIPP_VEH_TG_-_ID_7.CEL	GSM884901	HippVehTg.,rep4	1.004	0.033	0.015	0.261	0.986	0	0.4685563448	0.309045944	-0.4047798957	-0.2321129713	0.4671621556	56.2374857576	55.1162945389	2.5	2.18e-08	No	0	0	0	0
GSE36237	0	GSM884902_M_HIPP_VEH_TG_-_ID_70.CEL	GSM884902	HippVehTg.,rep5	0.99	0.023	-0.016	0.224	0.985	0	0.4045408887	0.3591889058	-0.4114402603	-0.2231809453	0.3472280136	47.5526580594	61.2092858251	2.24	3.97e-07	No	0	0	0	0
GSE36237	0	GSM884903_M_HIPP_VEH_TG_-_ID_71.CEL	GSM884903	HippVehTg.,rep6	0.994	0.026	0.013	0.254	0.987	0	0.4746612685	0.3698688182	-0.3935025579	-0.2546042368	0.4053803448	44.607212272	60.2447839294	2.37	6.73e-07	No	0	0	0	0
GSE36237	0	GSM884904_M_HIPP_VEH_TG_-_ID_72.CEL	GSM884904	HippVehTg.,rep7	0.994	0.03	0.008	0.245	0.986	0	0.4315870589	0.310548292	-0.2635222137	-0.1748227776	0.2661448148	60.2529309219	58.65280149	2.64	9.43e-09	No	0	0	0	0
GSE36237	0	GSM884905_M_HIPP_VEH_TG_-_ID_8.CEL	GSM884905	HippVehTg.,rep8	1.015	0.043	0.019	0.298	0.985	0	0.391765242	0.2691045688	-0.463886987	-0.2972522191	0.4067586446	53.0575672377	57.4466198089	2.13	1.06e-06	No	0	0	0	0
GSE36237	0	GSM884906_M_PFC_TREAT_9I_TG+_ID_76.CEL	GSM884906	PfCPDE9Tg+,rep1	0.989	0.022	0.006	0.215	0.988	0	0.4914217884	0.3809830744	-0.3967566276	-0.2291667955	0.4336669189	58.8808109677	58.643932507	2.78	2.7e-10	No	0	0	0	0
GSE36237	0	GSM884907_M_PFC_TREAT_9I_TG_+_ID_11.CEL	GSM884907	PfCPDE9Tg+,rep2	1.04	0.05	0	0.384	0.982	0	0.5054348867	0.3404469426	-0.343166988	-0.2689134595	0.4177360225	62.7079496063	57.5286579012	2.82	9.02e-10	No	0	0	0	0
GSE36237	0	GSM884908_M_PFC_TREAT_9I_TG_+_ID_12.CEL	GSM884908	PfCPDE9Tg+,rep3	1.022	0.041	0.01	0.367	0.982	0	0.3575023098	0.3026121515	-0.3675250552	-0.2235794558	0.3102324709	74.2658007111	58.7570120396	2.51	8.53e-10	No	0	0	0	0
GSE36237	0	GSM884909_M_PFC_TREAT_9I_TG_+_ID_27.CEL	GSM884909	PfCPDE9Tg+,rep4	1.01	0.034	-0.01	0.335	0.985	0	0.4465966758	0.3700148882	-0.3838551649	-0.2117432372	0.3172118177	71.8936305816	58.8833950467	2.81	6.5e-12	No	0	0	0	0
GSE36237	0	GSM884910_M_PFC_TREAT_9I_TG_+_ID_74.CEL	GSM884910	PfCPDE9Tg+,rep5	0.989	0.021	0.003	0.208	0.988	0	0.4242420461	0.3544056258	-0.3856984313	-0.2535516519	0.3095392527	69.6557393322	58.8257466575	2.7	1.09e-10	No	0	0	0	0
GSE36237	0	GSM884911_M_PFC_TREAT_9I_TG_+_ID_75.CEL	GSM884911	PfCPDE9Tg+,rep6	0.998	0.029	-0.012	0.237	0.986	0	0.5302080054	0.4134294815	-0.4397559765	-0.2407941686	0.3066709588	76.3902544603	59.2425888561	2.95	1.62e-11	No	0	0	0	0
GSE36237	0	GSM884912_M_PFC_TREAT_9I_TG_+_ID_78.CEL	GSM884912	PfCPDE9Tg+,rep7	0.989	0.022	-0.006	0.217	0.986	0	0.4642518482	0.3757589011	-0.4208052465	-0.2805407543	0.4244314716	61.5262797281	60.2381321922	2.91	1.24e-10	No	0	0	0	0
GSE36237	0	GSM884913_M_PFC_TREAT_9I_TG_+_ID_9.CEL	GSM884913	PfCPDE9Tg+,rep8	0.988	0.022	0.01	0.227	0.987	0	0.4747460761	0.3606317355	-0.3359565691	-0.2061509896	0.3266062705	69.0928428931	57.1406398971	2.71	7.55e-11	No	0	0	0	0
GSE36237	0	GSM884914_M_PFC_TREAT_9I_TG_-_ID_13.CEL	GSM884914	PfCPDE9Tg.,rep1	1.008	0.034	0.005	0.296	0.985	0	0.4884963652	0.3803552896	-0.3590068455	-0.2381737041	0.3500485682	72.4605956704	56.3557349061	2.7	1.07e-09	No	0	0	0	0
GSE36237	0	GSM884915_M_PFC_TREAT_9I_TG_-_ID_16.CEL	GSM884915	PfCPDE9Tg.,rep2	1.001	0.029	-0.007	0.281	0.987	0	0.4206427007	0.3363115299	-0.431774637	-0.2812219147	0.3490853616	69.9971993191	58.349038824	2.75	2.84e-10	No	0	0	0	0
GSE36237	0	GSM884916_M_PFC_TREAT_9I_TG_-_ID_29.CEL	GSM884916	PfCPDE9Tg.,rep3	0.991	0.023	-0.002	0.235	0.986	0	0.5116676891	0.3974616229	-0.3357436908	-0.2165589694	0.3039580126	63.2167189009	56.8257910024	2.7	5.63e-10	No	0	0	0	0
GSE36237	0	GSM884917_M_PFC_TREAT_9I_TG_-_ID_61.CEL	GSM884917	PfCPDE9Tg.,rep4	0.99	0.023	0.004	0.233	0.986	0	0.5246046555	0.4200075567	-0.3598427365	-0.1911741925	0.3192263763	68.6971049567	56.2626105851	2.72	8.76e-11	No	0	0	0	0
GSE36237	0	GSM884918_M_PFC_TREAT_9I_TG_-_ID_62.CEL	GSM884918	PfCPDE9Tg.,rep5	1.013	0.039	0.015	0.237	0.988	0	0.4983482121	0.5172300453	-0.4505264182	-0.2658980157	0.4536031019	73.283098834	55.588567881	2.64	5.55e-10	No	0	0	0	0
GSE36237	0	GSM884919_M_PFC_TREAT_9I_TG_-_ID_77.CEL	GSM884919	PfCPDE9Tg.,rep6	1.002	0.032	-0.021	0.262	0.984	0	0.5771935974	0.4909153861	-0.3578347298	-0.1979790664	0.421100093	68.878428257	59.2824992794	3.06	9.96e-12	No	0	0	0	0
GSE36237	0	GSM884920_M_PFC_TREAT_9I_TG_-_ID_79.CEL	GSM884920	PfCPDE9Tg.,rep7	0.999	0.029	-0.018	0.254	0.984	0	0.5537742954	0.4526944006	-0.3919493606	-0.181353041	0.4167190352	66.3411941069	59.4088822864	3.1	6.62e-12	No	0	0	0	0
GSE36237	0	GSM884921_M_PFC_TREAT_9I_TG_-_ID_80.CEL	GSM884921	PfCPDE9Tg.,rep8	1.04	0.061	0.001	0.333	0.983	0	0.4620225213	0.3079282336	-0.4064955523	-0.2591538399	0.5469567075	53.4846036773	59.0119952994	2.67	5.34e-09	No	0	0	0	0
GSE36237	0	GSM884922_M_PFC_VEH_TG_+_ID_1.CEL	GSM884922	PfCVehTg+,rep1	1.028	0.045	0.008	0.407	0.983	0	0.4724232781	0.3403134933	-0.3213526032	-0.2636429986	0.3491774973	62.6248146849	59.4310547438	2.75	1.68e-09	No	0	0	0	0
GSE36237	0	GSM884923_M_PFC_VEH_TG_+_ID_2.CEL	GSM884923	PfCVehTg+,rep2	1.009	0.033	0.003	0.327	0.985	0	0.4533912176	0.3409104672	-0.3646809293	-0.2569336754	0.3298241236	66.8055982867	59.4354892353	2.83	4.32e-10	No	0	0	0	0
GSE36237	0	GSM884924_M_PFC_VEH_TG_+_ID_3.CEL	GSM884924	PfCVehTg+,rep3	1.004	0.031	-0.006	0.305	0.986	0	0.4927425209	0.4100937989	-0.3714911296	-0.2653537793	0.323707722	67.9933947424	60.2004390147	2.72	9e-10	No	0	0	0	0
GSE36237	0	GSM884925_M_PFC_VEH_TG_+_ID_4.CEL	GSM884925	PfCVehTg+,rep4	0.999	0.028	-0.007	0.318	0.986	0	0.3738333545	0.2847007405	-0.3812088005	-0.253104204	0.3099932714	60.7291216902	60.1184009224	2.69	1.19e-09	No	0	0	0	0
GSE36237	0	GSM884926_M_PFC_VEH_TG_+_ID_65.CEL	GSM884926	PfCVehTg+,rep5	0.994	0.024	-0.018	0.246	0.986	0	0.5301398314	0.4374860319	-0.3907073458	-0.1991708074	0.3766632382	63.1035993323	61.0052992173	2.88	4.06e-11	No	0	0	0	0
GSE36237	0	GSM884927_M_PFC_VEH_TG_+_ID_66.CEL	GSM884927	PfCVehTg+,rep6	0.997	0.029	-0.018	0.259	0.983	0	0.4947110635	0.4275098329	-0.4075750093	-0.258985046	0.4553707679	57.4653092876	60.7724884149	2.8	1.43e-09	No	0	0	0	0
GSE36237	0	GSM884928_M_PFC_VEH_TG_+_ID_67.CEL	GSM884928	PfCVehTg+,rep7	0.998	0.028	-0.002	0.233	0.986	0	0.5412130516	0.4792565367	-0.4245433391	-0.2662121667	0.4813066902	56.1497921371	59.521961819	2.88	1.88e-10	No	0	0	0	0
GSE36237	0	GSM884929_M_PFC_VEH_TG_+_ID_68.CEL	GSM884929	PfCVehTg+,rep8	0.991	0.025	0.013	0.217	0.988	0	0.4007073819	0.3279736769	-0.4627594698	-0.2764037843	0.4660152689	64.2801708373	58.1583556906	2.6	2.87e-10	No	0	0	0	0
GSE36237	0	GSM884930_M_PFC_VEH_TG_-_ID_5.CEL	GSM884930	PfCVehTg.,rep1	0.998	0.027	0	0.277	0.987	0	0.5296281508	0.3918724475	-0.3741642153	-0.2154217249	0.3369516533	65.0255958462	58.8412673777	2.98	2.01e-11	No	0	0	0	0
GSE36237	0	GSM884931_M_PFC_VEH_TG_-_ID_6.CEL	GSM884931	PfCVehTg.,rep2	0.994	0.025	-0.002	0.27	0.986	0	0.4319225038	0.3431654719	-0.4064399469	-0.2466890072	0.3256037785	68.1799984657	58.7348395823	2.77	1.56e-11	No	0	0	0	0
GSE36237	0	GSM884932_M_PFC_VEH_TG_-_ID_69.CEL	GSM884932	PfCVehTg.,rep3	0.996	0.029	0.003	0.235	0.987	0	0.7187673615	0.5410787797	-0.3904075441	-0.2349968838	0.5264553282	63.6992610189	56.905611849	3.03	9.52e-11	No	0	0	0	0
GSE36237	0	GSM884933_M_PFC_VEH_TG_-_ID_7.CEL	GSM884933	PfCVehTg.,rep4	0.997	0.027	-0.002	0.262	0.986	0	0.5003913977	0.3972686414	-0.348254329	-0.1890114213	0.3332286879	70.8764214839	58.1783109022	2.95	1.9e-11	No	0	0	0	0
GSE36237	0	GSM884934_M_PFC_VEH_TG_-_ID_70.CEL	GSM884934	PfCVehTg.,rep5	0.995	0.027	-0.007	0.237	0.985	0	0.5037236312	0.4122639965	-0.3978877615	-0.2164995348	0.4116470114	71.3027606906	58.2825214519	2.96	5.51e-11	No	0	0	0	0
GSE36237	0	GSM884935_M_PFC_VEH_TG_-_ID_71.CEL	GSM884935	PfCVehTg.,rep6	1	0.031	-0.002	0.255	0.985	0	0.5214990362	0.4312949975	-0.4396291013	-0.2638514763	0.4261211061	72.1528488398	56.6461940977	2.91	8.73e-12	No	0	0	0	0
GSE36237	0	GSM884936_M_PFC_VEH_TG_-_ID_72.CEL	GSM884936	PfCVehTg.,rep7	0.998	0.03	0.013	0.297	0.985	0	0.6256364939	0.4863053879	-0.3309493263	-0.215615589	0.4116253086	75.8415128885	55.799206226	3.01	9.84e-11	No	0	0	0	0
GSE36237	0	GSM884937_M_PFC_VEH_TG_-_ID_8.CEL	GSM884937	PfCVehTg.,rep8	0.989	0.022	0.003	0.203	0.988	0	0.4378820275	0.3121499075	-0.4124025018	-0.2465822502	0.4336514912	54.3244336704	58.9432606816	2.77	3.28e-10	No	0	0	0	0
GSE48622	0	GSM1182475_phn_ZE_5484_MA2_20424.CEL	GSM1182475	N.dCKO_rep1	1	0.029	-0.001	0.156	0.996	0	0.6519748094	0.5314867909	-0.3182329477	-0.1372577478	0.3327652668	63.5408640522	58.8346156405	3.99	7.75e-12	No	0	0	0	0
GSE48622	0	GSM1182476_phn_ZE_5484_MA2_20425.CEL	GSM1182476	APLP2KO_rep1	1.005	0.034	0.003	0.165	0.996	0	0.7620895999	0.6406679666	-0.3510122505	-0.1453420261	0.4689971616	63.5708688872	56.2781313053	3.69	1.8e-10	No	0	0	0	0
GSE48622	0	GSM1182477_phn_ZE_5484_MA2_20426.CEL	GSM1182477	APPKO_rep1	1.017	0.043	-0.006	0.212	0.995	0	0.7443040749	0.5376091887	-0.310378245	-0.1315092565	0.3704387686	60.0125143019	55.7459923283	3.63	2.46e-09	No	0	0	0	0
GSE48622	0	GSM1182478_phn_ZE_5484_MA2_20427.CEL	GSM1182478	WT_rep1	0.994	0.025	-0.001	0.147	0.996	0	0.6874540022	0.5601035431	-0.3465893704	-0.1912888676	0.3218350023	54.3990248641	59.1583335181	3.8	1.45e-10	No	0	0	0	0
GSE48622	0	GSM1182479_phn_ZE_5484_MA2_20429.CEL	GSM1182479	WT_rep2	0.999	0.028	-0.008	0.157	0.996	0	0.6798145696	0.5034669497	-0.4102486473	-0.1910539668	0.3528767432	56.9867622816	58.1982661138	3.9	1.21e-11	No	0	0	0	0
GSE48622	0	GSM1182480_phn_ZE_5484_MA2_20430.CEL	GSM1182480	APPKO_rep2	0.996	0.026	0	0.142	0.996	0	0.6509419518	0.518381026	-0.3652379137	-0.2010747061	0.4037342775	61.7940197711	57.8279860757	3.84	4.92e-11	No	0	0	0	0
GSE48622	0	GSM1182481_phn_ZE_5484_MA2_20431.CEL	GSM1182481	N.dCKO_rep2	0.99	0.023	0.003	0.128	0.996	0	0.6750225659	0.5278697318	-0.2887082694	-0.1460856823	0.3573007085	62.5433280342	57.9676725571	3.94	6.66e-11	No	0	0	0	0
GSE48622	0	GSM1182482_phn_ZE_5484_MA2_20432.CEL	GSM1182482	APLP2KO_rep2	0.996	0.026	0.003	0.123	0.997	0	0.6947540064	0.5333266341	-0.3689450147	-0.1916013437	0.3689017568	67.078117141	57.4355335802	3.89	2.7e-11	No	0	0	0	0
GSE48622	0	GSM1182483_phn_ZE_5484_MA2_20433.CEL	GSM1182483	APLP2KO_rep3	1	0.03	-0.001	0.135	0.996	0	0.6984553005	0.5319600565	-0.4330038766	-0.1478634418	0.4371439759	61.5276870861	56.5464180395	3.79	5.67e-11	No	0	0	0	0
GSE48622	0	GSM1182484_phn_ZE_5484_MA2_20434.CEL	GSM1182484	N.dCKO_rep3	1.004	0.034	0.005	0.182	0.996	0	0.7975991826	0.6598507229	-0.2623996384	-0.0642018367	0.4664366432	59.7967842412	56.761490876	3.85	2.84e-10	No	0	0	0	0
GSE48622	0	GSM1182485_phn_ZE_5484_MA2_20435.CEL	GSM1182485	APLP2KO_rep4	1	0.029	-0.004	0.144	0.996	0	0.8081910106	0.6094374929	-0.291437335	-0.0599177711	0.4388195702	58.6851375714	57.774772178	3.91	3.97e-11	No	0	0	0	0
GSE48622	0	GSM1182486_phn_ZE_5484_MA2_20436.CEL	GSM1182486	N.dCKO_rep4	0.993	0.024	0.002	0.123	0.996	0	0.7072723807	0.5481863697	-0.3266009063	-0.1320247985	0.3442828781	56.1103997732	58.036407175	3.67	2.11e-10	No	0	0	0	0
GSE48622	0	GSM1182487_phn_ZE_5484_MA2_20441.CEL	GSM1182487	APPKO_rep3	1.03	0.052	-0.008	0.22	0.994	0	0.5995211181	0.5503381122	-0.4241587914	-0.1685112262	0.4739913954	59.5316108144	53.9655440012	3.43	5.77e-09	No	0	0	0	0
GSE48622	0	GSM1182488_phn_ZE_5484_MA2_20442.CEL	GSM1182488	WT_rep3	0.999	0.028	0.004	0.134	0.997	0	0.7722853788	0.6093258371	-0.3951626704	-0.2137298005	0.4211435242	54.0589096417	57.1339881599	3.68	8.24e-10	No	0	0	0	0
GSE48622	0	GSM1182489_phn_ZE_5484_MA2_20443.CEL	GSM1182489	APPKO_rep4	0.994	0.026	0.001	0.122	0.997	0	0.719548712	0.5498709583	-0.3339552755	-0.154321884	0.3953022967	63.2927809205	57.7703376865	3.89	4.48e-11	No	0	0	0	0
GSE48622	0	GSM1182490_phn_ZE_5484_MA2_20444.CEL	GSM1182490	WT_rep4	1.012	0.037	0.001	0.167	0.996	0	0.7189914505	0.6132986054	-0.4026233941	-0.1239375801	0.3725746547	61.2605719077	57.3047160817	3.85	1.7e-11	No	0	0	0	0
GSE52022	0	GSM1257654_4-2333_Mouse430_2_.CEL	GSM1257654	4mon_WT_rep2	1	0.028	0	0.179	0.992	0	1.8029113725	1.1729233839	0.4958767787	0.5870748235	3.8502580348	37.7514941122	43.500144121	5.17	1.02e-14	No	0	0	0	0
GSE52022	0	GSM1257655_4-2334_Mouse430_2_.CEL	GSM1257655	4mon_AD_rep1	1.005	0.032	-0.003	0.191	0.991	0	2.1904928023	1.3989319407	0.6600574002	0.7722092321	4.1188506501	36.4143087944	42.5511629454	5.16	1.34e-12	No	0	0	0	0
GSE52022	0	GSM1257656_4-2382_Mouse430_2_.CEL	GSM1257656	4mon_AD_rep2	0.997	0.024	0.003	0.157	0.992	0	1.7833600706	1.2203680252	0.4070100487	0.6110642487	3.5340260115	36.9962606386	44.8526640208	5.01	3.26e-13	No	0	0	0	0
GSE52022	0	GSM1257657_8-1435_Mouse430_2_.CEL	GSM1257657	8mon_WT_rep1	1.005	0.032	0	0.208	0.991	0	2.3492509836	1.3720398581	0.9450466978	0.8170443515	3.8989437623	42.422086504	45.1386887209	5.92	2.23e-14	No	0	0	0	0
GSE52022	0	GSM1257658_8-1439_Mouse430_2_.CEL	GSM1257658	8mon_WT_rep2	0.987	0.023	-0.002	0.146	0.992	0	1.7287332338	1.0855797273	0.1668205772	0.1938112072	3.1410315503	39.8201415855	46.0876698965	4.96	1.02e-13	No	0	0	0	0
GSE52022	0	GSM1257659_8-1434_Mouse430_2_.CEL	GSM1257659	8mon_AD_rep1	1.004	0.031	0.008	0.203	0.991	0	1.7095046505	1.051720228	0.414100239	0.3478795538	3.6103517607	38.5529647848	43.9635484801	5.03	4.27e-14	No	0	0	0	0
GSE52022	0	GSM1257660_8-1433_Mouse430_2_.CEL	GSM1257660	8mon_AD_rep2	1.004	0.03	-0.006	0.202	0.989	0	1.964320549	1.2658292981	0.628725682	0.5745431028	3.4676846958	36.2020940533	44.6331566928	5.5	2.47e-12	No	0	0	0	0
GSE8425	0	GSM208599.CEL	GSM208599	Hippocampus_WildType_rep1	1.029	0.06	0.033	0.245	0.989	0	0.8529818237	0.6797787092	2.0288484446	0.6944950645	0.9181905599	138.4950749702	44.847950639	3.08	6.1e-09	No	0	0	0	0
GSE8425	0	GSM208716.CEL	GSM208716	Hippocampus_WildType_rep2	1.004	0.035	-0.016	0.169	0.992	0	1.5590183478	1.1678190431	2.9104627537	0.8972665323	0.7911002925	101.5452690906	53.4464521816	4.08	3.16e-10	No	0	0	0	0
GSE8425	0	GSM209491.CEL	GSM209491	Hippocampus_WildType_rep3	1.002	0.03	0.011	0.159	0.992	0	1.2003798674	0.8692800397	2.1653143696	0.6371556286	0.8840228387	96.7118218037	48.2679594535	3.58	4.6e-10	No	0	0	0	0
GSE8425	0	GSM209506.CEL	GSM209506	Hippocampus_Rasgrf1KO_rep1	0.985	0.026	0.002	0.143	0.992	0	1.8224178714	1.1866662981	2.3275983088	0.6900703732	0.6609168172	106.0906155799	51.7849272807	4.2	1.47e-10	No	0	0	0	0
GSE8425	0	GSM209507.CEL	GSM209507	Hippocampus_Rasgrf1KO_rep2	0.998	0.027	-0.027	0.268	0.987	0	0.9654456268	0.6696807168	1.6317338089	0.3661451035	0.6274337558	115.4096048294	52.9969149405	3.89	7.24e-10	No	0	0	0	0
GSE8425	0	GSM209508.CEL	GSM209508	Hippocampus_Rasgrf1KO_rep3	0.997	0.026	-0.004	0.148	0.991	0	1.8290151748	1.3314770775	2.6990730187	1.0731407882	0.9652780589	83.7709431022	50.7668576465	4.24	1.81e-11	No	0	0	0	0
