ProbeName	geneSymbol	Description	LogRatio	pValue	pValueFDR	timepoint	regulation	phase
ILMN_2747456	Ivns1abp		-0.71	1.7e-08	1.56e-06	11m	down	late
ILMN_2625351	Sh3bgrl3	Mus musculus SH3 domain binding glutamic acid-rich protein-like 3 (Sh3bgrl3), mRNA.	-0.58	1.73e-08	1.58e-06	11m	down	late
ILMN_1246864	Rarb		-0.58	1.89e-08	1.72e-06	11m	down	late
ILMN_2659317	E130306d19rik		-0.54	1.95e-08	1.77e-06	11m	down	late
ILMN_2813724	Bai2	Mus musculus brain-specific angiogenesis inhibitor 2 (Bai2), mRNA.	-0.52	2.03e-08	1.84e-06	11m	down	late
ILMN_2604548	Rgs14	Mus musculus regulator of G-protein signaling 14 (Rgs14), mRNA.	-0.7	2.19e-08	1.97e-06	11m	down	late
ILMN_2446559	Tnfrsf4		-0.5	2.39e-08	2.11e-06	11m	down	late
ILMN_1260448	Plk2	Mus musculus polo-like kinase 2 (Drosophila) (Plk2), mRNA.	-0.69	2.57e-08	2.25e-06	11m	down	late
ILMN_2809611	Srm	Mus musculus spermidine synthase (Srm), mRNA.	-0.66	2.61e-08	2.27e-06	11m	down	late
ILMN_2906855	Ky	Mus musculus kyphoscoliosis peptidase (Ky), mRNA.	-0.62	2.62e-08	2.27e-06	11m	down	late
ILMN_2648921	Pcdhb8	Mus musculus protocadherin beta 8 (Pcdhb8), mRNA.	-0.58	2.59e-08	2.27e-06	11m	down	late
ILMN_1245352	Bc056929	Mus musculus doublecortin and CaM kinase-like 3 (Dcamkl3), mRNA.	-0.64	2.65e-08	2.29e-06	11m	down	late
ILMN_2737416	Fjx1		-0.74	2.91e-08	2.5e-06	11m	down	late
ILMN_1248397	Smarcd3		-0.63	3.15e-08	2.69e-06	11m	down	late
ILMN_2833781	Pwwp2	Mus musculus PWWP domain containing 2 (Pwwp2), transcript variant 2, mRNA.	-0.68	3.54e-08	3.01e-06	11m	down	late
ILMN_1253008	Acat2	Mus musculus acetyl-Coenzyme A acetyltransferase 2 (Acat2), mRNA.	-0.48	3.73e-08	3.15e-06	11m	down	late
ILMN_1217353	Rfx2	Mus musculus regulatory factor X, 2 (influences HLA class II expression) (Rfx2), mRNA.	-0.52	3.76e-08	3.17e-06	11m	down	late
ILMN_1256263	Camkk2	Mus musculus calcium/calmodulin-dependent protein kinase kinase 2, beta (Camkk2), mRNA.	-0.76	3.79e-08	3.18e-06	11m	down	late
ILMN_1221199	Ppm1f	Mus musculus protein phosphatase 1F (PP2C domain containing) (Ppm1f), mRNA.	-0.46	3.85e-08	3.21e-06	11m	down	late
ILMN_2937484	Dlgap2	Mus musculus discs, large (Drosophila) homolog-associated protein 2 (Dlgap2), mRNA.	-0.68	4.45e-08	3.64e-06	11m	down	late
ILMN_2681248	A430065p19rik		-0.52	4.46e-08	3.64e-06	11m	down	late
ILMN_1237961	Gnb5	Mus musculus guanine nucleotide binding protein, beta 5 (Gnb5), transcript variant 2, mRNA.	-0.59	4.75e-08	3.86e-06	11m	down	late
ILMN_1238309	A2bp1		-0.45	4.81e-08	3.9e-06	11m	down	late
ILMN_2756578	Flrt3	Mus musculus fibronectin leucine rich transmembrane protein 3 (Flrt3), mRNA.	-0.68	4.91e-08	3.95e-06	11m	down	late
ILMN_2694360	Efcbp2		-0.65	4.88e-08	3.95e-06	11m	down	late
ILMN_2705294	Siat8b	Mus musculus ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2 (St8sia2), mRNA.	-0.79	4.93e-08	3.96e-06	11m	down	late
ILMN_2643648	Dbccr1		-0.7	5.39e-08	4.3e-06	11m	down	late
ILMN_1248298	Plxdc1	Mus musculus plexin domain containing 1 (Plxdc1), mRNA.	-0.58	5.49e-08	4.35e-06	11m	down	late
ILMN_2747507	Pitpnm2	Mus musculus phosphatidylinositol transfer protein, membrane-associated 2 (Pitpnm2), mRNA.	-0.7	5.8e-08	4.57e-06	11m	down	late
ILMN_1251845	E130304d01		-0.95	6.14e-08	4.81e-06	11m	down	late
ILMN_2873444	Fbxo32	Mus musculus F-box protein 32 (Fbxo32), mRNA.	-0.58	6.85e-08	5.32e-06	11m	down	late
ILMN_1254082	Chodl		-0.52	6.84e-08	5.32e-06	11m	down	late
ILMN_1248692	Cacng3	Mus musculus calcium channel, voltage-dependent, gamma subunit 3 (Cacng3), mRNA.	-0.61	6.99e-08	5.39e-06	11m	down	late
ILMN_2870329	Dock4	Mus musculus dedicator of cytokinesis 4 (Dock4), mRNA.	-0.65	7.11e-08	5.47e-06	11m	down	late
ILMN_2828265	5-sep	Mus musculus septin 5 (Sept5), mRNA.	-0.78	7.17e-08	5.5e-06	11m	down	late
ILMN_3113303	Atp2b2	Mus musculus ATPase, Ca++ transporting, plasma membrane 2 (Atp2b2), transcript variant 2, mRNA.	-0.58	7.51e-08	5.72e-06	11m	down	late
ILMN_1228542	Gtf3c4		-0.6	7.63e-08	5.78e-06	11m	down	late
ILMN_1252078	Foxp1	Mus musculus forkhead box P1 (Foxp1), mRNA.	-0.73	7.71e-08	5.83e-06	11m	down	late
ILMN_2781458	Tlcd1	Mus musculus TLC domain containing 1 (Tlcd1), mRNA.	-0.63	7.8e-08	5.88e-06	11m	down	late
ILMN_1255166	Ctxn	Mus musculus cortexin 1 (Ctxn1), mRNA.	-0.63	7.88e-08	5.92e-06	11m	down	late
ILMN_2592507	Ppp1r9b		-0.59	8.06e-08	6.04e-06	11m	down	late
ILMN_2759058	Rnf103	Mus musculus ring finger protein 103 (Rnf103), mRNA.	-0.4	8.1e-08	6.05e-06	11m	down	late
ILMN_2885123	6530418l21rik	Mus musculus RIKEN cDNA 6530418L21 gene (6530418L21Rik), mRNA.	-0.99	8.19e-08	6.08e-06	11m	down	late
ILMN_2626389	D7ertd156e	Mus musculus nodal modulator 1 (Nomo1), mRNA.	-0.7	8.85e-08	6.51e-06	11m	down	late
ILMN_2651369	Kcnk2	Mus musculus potassium channel, subfamily K, member 2 (Kcnk2), mRNA.	-0.69	8.89e-08	6.51e-06	11m	down	late
ILMN_1226785	Homer1	Mus musculus homer homolog 1 (Drosophila) (Homer1), transcript variant d, mRNA.	-0.75	9.11e-08	6.65e-06	11m	down	late
ILMN_1218256	Loc268935		-0.55	9.16e-08	6.67e-06	11m	down	late
ILMN_1233784	Wdr34		-0.55	9.21e-08	6.68e-06	11m	down	late
ILMN_2637203	Rfc5		-0.46	9.37e-08	6.78e-06	11m	down	late
ILMN_1248290	Wnt7a	Mus musculus wingless-related MMTV integration site 7A (Wnt7a), mRNA.	-0.77	9.5e-08	6.82e-06	11m	down	late
ILMN_2679377	Chgb		-0.51	9.46e-08	6.82e-06	11m	down	late
ILMN_2870788	Upb1	Mus musculus ureidopropionase, beta (Upb1), mRNA.	-0.59	9.56e-08	6.85e-06	11m	down	late
ILMN_1224516	Slmap		-0.65	9.79e-08	6.95e-06	11m	down	late
ILMN_1219025	9030409g11rik	Mus musculus RIKEN cDNA 9030409G11 gene (9030409G11Rik), mRNA.	-0.59	1e-07	7.1e-06	11m	down	late
ILMN_3161601	Snca		-0.62	1.03e-07	7.29e-06	11m	down	late
ILMN_2740115	Siat8c		-1.05	1.07e-07	7.57e-06	11m	down	late
ILMN_1227882	Loc381270		-0.59	1.08e-07	7.61e-06	11m	down	late
ILMN_2614853	6720458f09rik	Mus musculus RIKEN cDNA 6720458F09 gene (6720458F09Rik), mRNA.	-0.58	1.13e-07	7.86e-06	11m	down	late
ILMN_2680307	Sec14l1		-0.76	1.17e-07	8.13e-06	11m	down	late
ILMN_2690596	Hey1		-0.53	1.18e-07	8.15e-06	11m	down	late
ILMN_2517170	Tuba4	Mus musculus tubulin, alpha 4A (Tuba4a), mRNA.	-0.59	1.24e-07	8.5e-06	11m	down	late
ILMN_2607786	Fads1	Mus musculus fatty acid desaturase 1 (Fads1), mRNA.	-0.39	1.26e-07	8.62e-06	11m	down	late
ILMN_3162809	Lrrn6a	Mus musculus leucine rich repeat and Ig domain containing 1 (Lingo1), mRNA.	-0.52	1.26e-07	8.63e-06	11m	down	late
ILMN_3065373	4930572j05rik	Mus musculus RIKEN cDNA 4930572J05 gene (4930572J05Rik), mRNA.	-0.58	1.28e-07	8.71e-06	11m	down	late
ILMN_2478523	Txnl4		-0.57	1.31e-07	8.92e-06	11m	down	late
ILMN_2955509	Klk6	Mus musculus kallikrein related-peptidase 6 (Klk6), mRNA.	-0.97	1.34e-07	9.05e-06	11m	down	late
ILMN_1232146	1700021c14rik		-0.43	1.34e-07	9.05e-06	11m	down	late
ILMN_2784144	Rasgrp2	Mus musculus RAS, guanyl releasing protein 2 (Rasgrp2), mRNA.	-0.87	1.39e-07	9.31e-06	11m	down	late
ILMN_2628759	Htr1b	Mus musculus 5-hydroxytryptamine (serotonin) receptor 1B (Htr1b), mRNA.	-0.69	1.41e-07	9.35e-06	11m	down	late
ILMN_2703738	Lrp12	Mus musculus low density lipoprotein-related protein 12 (Lrp12), mRNA.	-0.58	1.42e-07	9.42e-06	11m	down	late
ILMN_2993652	Ncan	Mus musculus neurocan (Ncan), mRNA.	-0.55	1.52e-07	9.97e-06	11m	down	late
ILMN_2592321	Cdh13		-0.7	1.54e-07	1.01e-05	11m	down	late
ILMN_1230766	Scmh1		-0.55	1.56e-07	1.02e-05	11m	down	late
ILMN_2849285	Krt10	Mus musculus keratin 10 (Krt10), mRNA.	-0.45	1.61e-07	1.04e-05	11m	down	late
ILMN_2649810	Rpl3l	Mus musculus ribosomal protein L3-like (Rpl3l), mRNA.	-0.37	1.6e-07	1.04e-05	11m	down	late
ILMN_1246058	Ppp1ca	Mus musculus protein phosphatase 1, catalytic subunit, alpha isoform (Ppp1ca), mRNA.	-0.53	1.67e-07	1.07e-05	11m	down	late
ILMN_1250869	Ablim2		-0.64	1.74e-07	1.11e-05	11m	down	late
ILMN_2932824	Gna-rs1	Mus musculus guanine nucleotide binding protein, related sequence 1 (Gna-rs1), mRNA.	-0.42	1.79e-07	1.14e-05	11m	down	late
ILMN_2678495	Akap9		-0.8	1.87e-07	1.18e-05	11m	down	late
ILMN_2924831	Gas7	Mus musculus growth arrest specific 7 (Gas7), mRNA.	-0.67	1.86e-07	1.18e-05	11m	down	late
ILMN_3143304	4930572j05rik	Mus musculus RIKEN cDNA 4930572J05 gene (4930572J05Rik), mRNA.	-0.64	1.86e-07	1.18e-05	11m	down	late
ILMN_1230263	Me2		-0.6	1.88e-07	1.18e-05	11m	down	late
ILMN_2628178	Socs2		-0.67	1.99e-07	1.25e-05	11m	down	late
ILMN_3150366	Ryr3	Mus musculus ryanodine receptor 3 (Ryr3), mRNA.	-0.65	2.03e-07	1.27e-05	11m	down	late
ILMN_2704257	Reln		-0.54	2.04e-07	1.27e-05	11m	down	late
ILMN_3090378	Catnd2		-0.58	2.06e-07	1.28e-05	11m	down	late
ILMN_2618169	Kcnab1	Mus musculus potassium voltage-gated channel, shaker-related subfamily, beta member 1 (Kcnab1), mRNA.	-0.7	2.15e-07	1.33e-05	11m	down	late
ILMN_2593787	Kcnk13	Mus musculus potassium channel, subfamily K, member 13 (Kcnk13), mRNA.	-0.69	2.21e-07	1.35e-05	11m	down	late
ILMN_2649333	Rps6kl1		-0.55	2.2e-07	1.35e-05	11m	down	late
ILMN_3096933	Top1mt	Mus musculus DNA topoisomerase 1, mitochondrial (Top1mt), mRNA.	-0.53	2.21e-07	1.35e-05	11m	down	late
ILMN_2902767	Prrt3	Mus musculus proline-rich transmembrane protein 3 (Prrt3), mRNA.	-0.51	2.26e-07	1.37e-05	11m	down	late
ILMN_2990420	Jmjd2b	Mus musculus jumonji domain containing 2B (Jmjd2b), mRNA.	-0.47	2.41e-07	1.46e-05	11m	down	late
ILMN_2642403	Lmo4	Mus musculus LIM domain only 4 (Lmo4), mRNA.	-0.53	2.48e-07	1.49e-05	11m	down	late
ILMN_1235811	1110032e23rik		-0.72	2.5e-07	1.5e-05	11m	down	late
ILMN_1228970	Rhobtb2	Mus musculus Rho-related BTB domain containing 2 (Rhobtb2), mRNA.	-0.66	2.54e-07	1.52e-05	11m	down	late
ILMN_2791644	Reep1	Mus musculus receptor accessory protein 1 (Reep1), mRNA.	-0.52	2.59e-07	1.54e-05	11m	down	late
ILMN_1255511	1110037n09rik		-0.78	2.64e-07	1.57e-05	11m	down	late
ILMN_2620893	Dlgap2	Mus musculus discs, large (Drosophila) homolog-associated protein 2 (Dlgap2), mRNA.	-0.61	2.67e-07	1.57e-05	11m	down	late
ILMN_2463181	Tnc		-0.48	2.64e-07	1.57e-05	11m	down	late
ILMN_2961165	Ttl	Mus musculus tubulin tyrosine ligase (Ttl), mRNA.	-0.62	2.71e-07	1.58e-05	11m	down	late
ILMN_2651556	Otof	Mus musculus otoferlin (Otof), mRNA.	-0.61	2.79e-07	1.63e-05	11m	down	late
ILMN_3093626	Porcn	Mus musculus porcupine homolog (Drosophila) (Porcn), transcript variant Mporc-b, mRNA.	-0.48	2.8e-07	1.63e-05	11m	down	late
ILMN_2665238	Grm1	Mus musculus glutamate receptor, metabotropic 1 (Grm1), mRNA.	-0.58	3.01e-07	1.73e-05	11m	down	late
ILMN_1247811	Ass1	Mus musculus argininosuccinate synthetase 1 (Ass1), mRNA.	-0.57	3e-07	1.73e-05	11m	down	late
ILMN_2640346	P2ry13	Mus musculus purinergic receptor P2Y, G-protein coupled 13 (P2ry13), mRNA.	-0.81	3.03e-07	1.74e-05	11m	down	late
ILMN_1246285	Tmem46	Mus musculus transmembrane protein 46 (Tmem46), mRNA.	-1.06	3.1e-07	1.78e-05	11m	down	late
ILMN_1213123	Adam23		-0.65	3.35e-07	1.91e-05	11m	down	late
ILMN_1214070	Al033326	Mus musculus RanBP-type and C3HC4-type zinc finger containing 1 (Rbck1), mRNA.	-0.62	3.41e-07	1.94e-05	11m	down	late
ILMN_1227403	Rtn4rl1		-0.63	3.46e-07	1.96e-05	11m	down	late
ILMN_2637188	Cnr1		-0.58	3.69e-07	2.06e-05	11m	down	late
ILMN_2710764	Dlgh4		-0.75	3.74e-07	2.08e-05	11m	down	late
ILMN_2744731	A330102k23rik		-0.64	3.77e-07	2.08e-05	11m	down	late
ILMN_2645133	Ai839735		-0.45	3.76e-07	2.08e-05	11m	down	late
ILMN_2594855	Pdpk1		-0.54	3.85e-07	2.11e-05	11m	down	late
ILMN_2445324	Zfpm1	Mus musculus zinc finger protein, multitype 1 (Zfpm1), mRNA.	-0.56	3.88e-07	2.12e-05	11m	down	late
ILMN_2661588	Spnb3		-0.56	4.05e-07	2.21e-05	11m	down	late
ILMN_1227758	2310069i04rik		-0.44	4.05e-07	2.21e-05	11m	down	late
ILMN_2924391	Pcsk2	Mus musculus proprotein convertase subtilisin/kexin type 2 (Pcsk2), mRNA.	-0.7	4.18e-07	2.27e-05	11m	down	late
ILMN_2798138	Gipc2	Mus musculus GIPC PDZ domain containing family, member 2 (Gipc2), mRNA.	-0.52	4.21e-07	2.28e-05	11m	down	late
ILMN_2850324	Sohlh1	Mus musculus spermatogenesis and oogenesis specific basic helix-loop-helix 1 (Sohlh1), mRNA.	-0.51	4.29e-07	2.32e-05	11m	down	late
ILMN_1249242	Zrf2		-0.68	4.41e-07	2.38e-05	11m	down	late
ILMN_3068535	D4ertd429e	Mus musculus DNA segment, Chr 4, ERATO Doi 429, expressed (D4Ertd429e), transcript variant 1, mRNA.	-0.57	4.6e-07	2.47e-05	11m	down	late
ILMN_1230357	Itpr1	Mus musculus inositol 1,4,5-triphosphate receptor 1 (Itpr1), mRNA.	-0.46	4.67e-07	2.5e-05	11m	down	late
ILMN_2706819	Rasl11b		-0.81	4.77e-07	2.55e-05	11m	down	late
ILMN_2733091	Baiap2		-0.58	5.01e-07	2.67e-05	11m	down	late
ILMN_2724235	Myo18a		-0.54	5.07e-07	2.69e-05	11m	down	late
ILMN_1239627	4631426j05rik		-0.56	5.12e-07	2.71e-05	11m	down	late
ILMN_2482209	Tpm2	Mus musculus tropomyosin 2, beta (Tpm2), mRNA.	-0.52	5.15e-07	2.71e-05	11m	down	late
ILMN_1256117	Hrh3	Mus musculus histamine receptor H 3 (Hrh3), mRNA.	-0.94	5.2e-07	2.73e-05	11m	down	late
ILMN_2761720	2610019f03rik	Mus musculus RIKEN cDNA 2610019F03 gene (2610019F03Rik), mRNA.	-0.54	5.23e-07	2.74e-05	11m	down	late
ILMN_3033562	Mgc106740	Mus musculus predicted gene, OTTMUSG00000017677 (OTTMUSG00000017677), mRNA.	-0.59	5.35e-07	2.79e-05	11m	down	late
ILMN_1242183	Loc227631		-0.45	5.77e-07	2.98e-05	11m	down	late
ILMN_1229680	Flrt3	Mus musculus fibronectin leucine rich transmembrane protein 3 (Flrt3), mRNA.	-0.68	5.9e-07	3.04e-05	11m	down	late
ILMN_2877900	Cpne5	Mus musculus copine V (Cpne5), mRNA.	-0.34	5.99e-07	3.08e-05	11m	down	late
ILMN_2934028	Ttll11	Mus musculus tubulin tyrosine ligase-like family, member 11 (Ttll11), mRNA.	-0.73	6.12e-07	3.11e-05	11m	down	late
ILMN_2653205	Gp1bb		-0.59	6.06e-07	3.11e-05	11m	down	late
ILMN_2828768	Usp28	Mus musculus ubiquitin specific peptidase 28 (Usp28), mRNA.	-0.59	6.1e-07	3.11e-05	11m	down	late
ILMN_3139548	Lmo3	Mus musculus LIM domain only 3 (Lmo3), mRNA.	-0.48	6.21e-07	3.15e-05	11m	down	late
ILMN_1215903	Ap1s1		-0.53	6.24e-07	3.16e-05	11m	down	late
ILMN_2646045	5730507a09rik	Mus musculus RIKEN cDNA 5730507A09 gene (5730507A09Rik), mRNA.	-0.5	6.33e-07	3.2e-05	11m	down	late
ILMN_1236009	Camk2b	Mus musculus calcium/calmodulin-dependent protein kinase II, beta (Camk2b), mRNA.	-0.54	6.45e-07	3.25e-05	11m	down	late
ILMN_1216469	Kcnab1	Mus musculus potassium voltage-gated channel, shaker-related subfamily, beta member 1 (Kcnab1), mRNA.	-0.61	6.61e-07	3.32e-05	11m	down	late
ILMN_1234415	Prima1		-0.51	6.6e-07	3.32e-05	11m	down	late
ILMN_2605512	Lamb3		-0.49	6.69e-07	3.35e-05	11m	down	late
ILMN_2639674	Pcsk2	Mus musculus proprotein convertase subtilisin/kexin type 2 (Pcsk2), mRNA.	-0.69	6.79e-07	3.39e-05	11m	down	late
ILMN_2932474	4930521e07rik	Mus musculus RIKEN cDNA 4930521E07 gene (4930521E07Rik), mRNA.	-0.51	6.87e-07	3.43e-05	11m	down	late
ILMN_1255385	Chst1	Mus musculus carbohydrate (keratan sulfate Gal-6) sulfotransferase 1 (Chst1), mRNA.	-0.52	7.02e-07	3.49e-05	11m	down	late
ILMN_2758264	Cyp2s1	Mus musculus cytochrome P450, family 2, subfamily s, polypeptide 1 (Cyp2s1), mRNA.	-0.59	7.15e-07	3.54e-05	11m	down	late
ILMN_2661722	Ccl25	Mus musculus chemokine (C-C motif) ligand 25 (Ccl25), mRNA.	-0.58	7.13e-07	3.54e-05	11m	down	late
ILMN_2607196	0910001a06rik	Mus musculus RIKEN cDNA 0910001A06 gene (0910001A06Rik), mRNA.	-0.46	7.2e-07	3.55e-05	11m	down	late
ILMN_2631934	3110007p09rik		-0.43	7.75e-07	3.79e-05	11m	down	late
ILMN_1227951	Gcnt2	Mus musculus glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (Gcnt2), transcript variant 1, mRNA.	-0.63	8.28e-07	4e-05	11m	down	late
ILMN_2687473	Neto1		-0.62	8.4e-07	4.04e-05	11m	down	late
ILMN_1231573	Serpinb1a		-0.54	8.49e-07	4.06e-05	11m	down	late
ILMN_2597249	Abcb9		-0.52	8.45e-07	4.06e-05	11m	down	late
ILMN_2787238	Hpca	Mus musculus hippocalcin (Hpca), mRNA.	-0.43	8.49e-07	4.06e-05	11m	down	late
ILMN_3062075	Lmo3	Mus musculus LIM domain only 3 (Lmo3), mRNA.	-0.62	9.29e-07	4.41e-05	11m	down	late
ILMN_2627041	Cx3cl1		-0.65	9.5e-07	4.49e-05	11m	down	late
ILMN_2883164	Serpine2	Mus musculus serine (or cysteine) peptidase inhibitor, clade E, member 2 (Serpine2), mRNA.	-0.59	9.54e-07	4.51e-05	11m	down	late
ILMN_2744337	Cd47	Mus musculus CD47 antigen (Rh-related antigen, integrin-associated signal transducer) (Cd47), mRNA.	-0.38	9.87e-07	4.65e-05	11m	down	late
ILMN_2651582	Ab041544	Mus musculus RIKEN cDNA 9630031F12 gene (9630031F12Rik), mRNA.	-0.69	1.01e-06	4.76e-05	11m	down	late
ILMN_1214866	Eml1		-0.44	1.02e-06	4.79e-05	11m	down	late
ILMN_2637413	Dbpht2		-0.78	1.04e-06	4.88e-05	11m	down	late
ILMN_2752737	Prosapip1	Mus musculus ProSAPiP1 protein (Prosapip1), mRNA.	-0.68	1.16e-06	5.38e-05	11m	down	late
ILMN_2655260	Ptp4a3	Mus musculus protein tyrosine phosphatase 4a3 (Ptp4a3), mRNA.	-0.47	1.22e-06	5.65e-05	11m	down	late
ILMN_1257415	Jph4	Mus musculus junctophilin 4 (Jph4), transcript variant a, mRNA.	-0.74	1.23e-06	5.69e-05	11m	down	late
ILMN_1242779	Gnb1l		-0.4	1.26e-06	5.81e-05	11m	down	late
ILMN_2837671	Fblim1	Mus musculus filamin binding LIM protein 1 (Fblim1), mRNA.	-0.6	1.29e-06	5.93e-05	11m	down	late
ILMN_2593888	Gsk3b		-0.52	1.3e-06	5.97e-05	11m	down	late
ILMN_1254016	Adora1		-0.52	1.36e-06	6.25e-05	11m	down	late
ILMN_2606746	Car2	Mus musculus carbonic anhydrase 2 (Car2), mRNA.	-0.89	1.37e-06	6.27e-05	11m	down	late
ILMN_3090731	Pkig	Mus musculus protein kinase inhibitor, gamma (Pkig), transcript variant 3, mRNA.	-0.42	1.4e-06	6.39e-05	11m	down	late
ILMN_1248328	Acvrl1		-0.47	1.5e-06	6.79e-05	11m	down	late
ILMN_1247053	B930093c12rik		-0.41	1.56e-06	7.02e-05	11m	down	late
ILMN_2754598	Centg3		-0.39	1.57e-06	7.05e-05	11m	down	late
ILMN_2888448	Ccr6	Mus musculus chemokine (C-C motif) receptor 6 (Ccr6), mRNA.	-0.64	1.6e-06	7.14e-05	11m	down	late
ILMN_1250063	Ppp2r5d	Mus musculus protein phosphatase 2, regulatory subunit B (B56), delta isoform (Ppp2r5d), mRNA.	-0.4	1.66e-06	7.37e-05	11m	down	late
ILMN_2635700	Lgi2		-0.66	1.71e-06	7.52e-05	11m	down	late
ILMN_1251414	Nxf		-1.26	1.71e-06	7.54e-05	11m	down	late
ILMN_1245717	Epb4.9		-0.44	1.74e-06	7.66e-05	11m	down	late
ILMN_2942117	Rap1gap	Mus musculus Rap1 GTPase-activating protein (Rap1gap), mRNA.	-0.63	1.76e-06	7.71e-05	11m	down	late
ILMN_2724451	Fbf1	Mus musculus Fas (TNFRSF6) binding factor 1 (Fbf1), mRNA.	-0.54	1.77e-06	7.77e-05	11m	down	late
ILMN_2846803	Camkk2	Mus musculus calcium/calmodulin-dependent protein kinase kinase 2, beta (Camkk2), mRNA.	-0.63	1.78e-06	7.78e-05	11m	down	late
ILMN_1241225	Dctd	Mus musculus dCMP deaminase (Dctd), mRNA.	-0.42	1.79e-06	7.79e-05	11m	down	late
ILMN_2595651	4930438o05rik		-0.73	1.79e-06	7.81e-05	11m	down	late
ILMN_1240537	0710001e13rik	Mus musculus cyclic AMP-regulated phosphoprotein, 21 (Arpp21), transcript variant 1, mRNA.	-0.33	1.84e-06	8e-05	11m	down	late
ILMN_2605703	2700038n03rik	Mus musculus RIKEN cDNA 2700038N03 gene (2700038N03Rik), mRNA.	-0.45	1.85e-06	8.03e-05	11m	down	late
ILMN_1253970	Sirt7	Mus musculus sirtuin 7 (silent mating type information regulation 2, homolog) 7 (S. cerevisiae) (Sirt7), mRNA.	-0.48	1.86e-06	8.06e-05	11m	down	late
ILMN_1237886	Enc1	Mus musculus ectodermal-neural cortex 1 (Enc1), mRNA.	-0.59	1.87e-06	8.1e-05	11m	down	late
ILMN_2764309	Dusp14	Mus musculus dual specificity phosphatase 14 (Dusp14), mRNA.	-1.05	1.95e-06	8.37e-05	11m	down	late
ILMN_2701355	Nanos1		-0.5	2.01e-06	8.59e-05	11m	down	late
ILMN_2610424	Myt1l	Mus musculus myelin transcription factor 1-like (Myt1l), mRNA.	-0.49	2.02e-06	8.62e-05	11m	down	late
ILMN_1219077	Aa536749		-0.51	2.04e-06	8.67e-05	11m	down	late
ILMN_2678521	Gpr146		-0.5	2.05e-06	8.7e-05	11m	down	late
ILMN_2518284	Dlgh2		-0.42	2.05e-06	8.7e-05	11m	down	late
ILMN_2966602	6430411k18rik	Mus musculus RIKEN cDNA 6430411K18 gene (6430411K18Rik) on chromosome 12.	-0.71	2.18e-06	9.19e-05	11m	down	late
ILMN_1249022	Caln1		-0.43	2.23e-06	9.41e-05	11m	down	late
ILMN_2692723	Lpl		-0.59	2.25e-06	9.42e-05	11m	down	late
ILMN_1235176	Traip		-0.37	2.25e-06	9.42e-05	11m	down	late
ILMN_2832808	Vdac1	Mus musculus voltage-dependent anion channel 1 (Vdac1), mRNA.	-0.42	2.27e-06	9.51e-05	11m	down	late
ILMN_2661650	Dp1l1	Mus musculus receptor accessory protein 6 (Reep6), mRNA.	-0.36	2.28e-06	9.54e-05	11m	down	late
ILMN_3161225	Xkrx	Mus musculus X Kell blood group precursor related X linked (Xkrx), mRNA.	-0.36	2.32e-06	9.68e-05	11m	down	late
ILMN_2824599	Ppapdc2	Mus musculus phosphatidic acid phosphatase type 2 domain containing 2 (Ppapdc2), mRNA.	-0.52	2.4e-06	9.94e-05	11m	down	late
ILMN_2837179	Neto1	Mus musculus neuropilin (NRP) and tolloid (TLL)-like 1 (Neto1), mRNA.	-0.56	2.52e-06	1e-04	11m	down	late
ILMN_2754954	Mpp3		-0.58	2.8e-06	0.00011	11m	down	late
ILMN_1223624	Hras1		-0.49	2.62e-06	0.00011	11m	down	late
ILMN_2681195	Hnt		-0.43	2.73e-06	0.00011	11m	down	late
ILMN_2747792	6530418l21rik	Mus musculus RIKEN cDNA 6530418L21 gene (6530418L21Rik), mRNA.	-0.72	2.92e-06	0.00012	11m	down	late
ILMN_2683896	Syt6		-0.63	2.83e-06	0.00012	11m	down	late
ILMN_2675199	Ntrk3	Mus musculus neurotrophic tyrosine kinase, receptor, type 3 (Ntrk3), transcript variant 1, mRNA.	-0.55	2.95e-06	0.00012	11m	down	late
ILMN_2690911	Cdh7		-0.54	2.94e-06	0.00012	11m	down	late
ILMN_2879534	Extl1	Mus musculus exostoses (multiple)-like 1 (Extl1), mRNA.	-0.54	2.97e-06	0.00012	11m	down	late
ILMN_1230498	A930005i04rik	Mus musculus RIKEN cDNA A930005I04 gene (A930005I04Rik), mRNA.	-0.47	3.11e-06	0.00012	11m	down	late
ILMN_2725370	Map3k12	Mus musculus mitogen activated protein kinase kinase kinase 12 (Map3k12), mRNA.	-0.41	3.04e-06	0.00012	11m	down	late
ILMN_1253414	Hes5	Mus musculus hairy and enhancer of split 5 (Drosophila) (Hes5), mRNA.	-0.93	3.13e-06	0.00013	11m	down	late
ILMN_2645295	1110035l05rik	Mus musculus C1q domain containing 2 (C1qdc2), mRNA.	-0.56	3.19e-06	0.00013	11m	down	late
ILMN_1224637	Foxq1	Mus musculus forkhead box Q1 (Foxq1), mRNA.	-0.56	3.4e-06	0.00013	11m	down	late
ILMN_2757838	1810043m15rik	Mus musculus inositol 1,3,4,5,6-pentakisphosphate 2-kinase (Ippk), mRNA.	-0.46	3.17e-06	0.00013	11m	down	late
ILMN_3112922	Hdac5	Mus musculus histone deacetylase 5 (Hdac5), transcript variant 1, mRNA.	-0.42	3.28e-06	0.00013	11m	down	late
